fecha,demanda
2010-07-19,151862665.67000002
2010-07-20,136593199.31
2010-07-21,159093908.85
2010-07-22,161196807.61
2010-07-23,162419382.77
2010-07-24,154450324.18999997
2010-07-25,138907957.88
2010-07-26,160027900.14
2010-07-27,159574143.29
2010-07-28,156750904.58
2010-07-29,157836584.51
2010-07-30,157230746.21
2010-07-31,146692929.97000003
2010-08-01,129865284.07
2010-08-02,154984646.68
2010-08-03,157565393.7
2010-08-04,158904246.94
2010-08-05,159073612.49999997
2010-08-06,157637511.31000003
2010-08-07,138401675.7
2010-08-08,130295782.54
2010-08-09,155904564.03000003
2010-08-10,161216904.2
2010-08-11,160823258.57999998
2010-08-12,157154229.53000003
2010-08-13,156846620.71
2010-08-14,150066899.33999997
2010-08-15,129750134.85000001
2010-08-16,133207040.48000002
2010-08-17,157556928.8
2010-08-18,158429098.64
2010-08-19,160566703.35000005
2010-08-20,161579669.65
2010-08-21,153138918.02999997
2010-08-22,135704834.69
2010-08-23,160862715.57999998
2010-08-24,163740600.27999997
2010-08-25,161906039.14999998
2010-08-26,157438551.72000003
2010-08-27,158194492.14000002
2010-08-28,151355237.57999998
2010-08-29,137139469.21
2010-08-30,161900246.31
2010-08-31,161638998.78
2010-09-01,159911648.31000003
2010-09-02,158935190.36
2010-09-03,158856562.0
2010-09-04,150923072.35999998
2010-09-05,133290466.54999997
2010-09-06,156364134.8
2010-09-07,160157597.76
2010-09-08,158941511.27999997
2010-09-09,159548053.07
2010-09-10,159357200.24999997
2010-09-11,153453494.98999998
2010-09-12,136467201.53
2010-09-13,158932564.03999996
2010-09-14,161920181.60000002
2010-09-15,164385634.54999998
2010-09-16,162602194.81
2010-09-17,162667079.95
2010-09-18,151518867.62
2010-09-19,131801245.57
2010-09-20,153102932.78
2010-09-21,156865578.96999997
2010-09-22,159424151.62999997
2010-09-23,159574964.53
2010-09-24,157957408.10999998
2010-09-25,149498377.87999997
2010-09-26,133036518.98
2010-09-27,155445998.52
2010-09-28,158782567.07
2010-09-29,160699427.8
2010-09-30,161408105.01999998
2010-10-01,158844967.64999998
2010-10-02,150002267.1
2010-10-03,130533741.72
2010-10-04,153060509.15
2010-10-05,155745273.20999998
2010-10-06,158198935.07
2010-10-07,158333270.41999996
2010-10-08,159367489.21000004
2010-10-09,151959589.68000004
2010-10-10,135368602.48000002
2010-10-11,161238800.42
2010-10-12,167775731.44000003
2010-10-13,168816706.0
2010-10-14,169051788.36999997
2010-10-15,167400058.04999998
2010-10-16,155839506.45999998
2010-10-17,135479038.48
2010-10-18,136531410.95000002
2010-10-19,161002526.88
2010-10-20,162188116.73
2010-10-21,163551026.04999995
2010-10-22,165893534.46
2010-10-23,156030771.53
2010-10-24,138467141.1
2010-10-25,160436423.0
2010-10-26,164448962.26000002
2010-10-27,165736546.13999996
2010-10-28,164638008.65000004
2010-10-29,163916323.78000003
2010-10-30,155644187.45000002
2010-10-31,138339497.07000002
2010-11-01,140591830.47
2010-11-02,159384692.96000004
2010-11-03,159650927.30999997
2010-11-04,162487874.01999998
2010-11-05,164826283.60000002
2010-11-06,154065386.54
2010-11-07,137374656.88
2010-11-08,160038266.45999998
2010-11-09,163041594.22000003
2010-11-10,163787750.0
2010-11-11,164207461.63000003
2010-11-12,163665778.2
2010-11-13,154901577.39
2010-11-14,138017080.99
2010-11-15,141337214.70000002
2010-11-16,162133532.91
2010-11-17,164594002.94999996
2010-11-18,163941552.42999998
2010-11-19,163291762.92000002
2010-11-20,154975414.19000003
2010-11-21,140808029.85
2010-11-22,162195281.74
2010-11-23,165514481.22999996
2010-11-24,166317810.76000002
2010-11-25,165458077.22000003
2010-11-26,167206582.36
2010-11-27,159132555.76
2010-11-28,139956498.87
2010-11-29,163932409.28000003
2010-11-30,166447893.6
2010-12-01,166459944.88000003
2010-12-02,164980815.79
2010-12-03,163327033.4
2010-12-04,155534855.15
2010-12-05,139917131.03
2010-12-06,163368772.12000003
2010-12-07,165559089.92999998
2010-12-08,147328347.51999998
2010-12-09,164809235.7
2010-12-10,166863602.73000002
2010-12-11,159757714.96
2010-12-12,144051898.63999996
2010-12-13,164005887.43
2010-12-14,160715005.95999998
2010-12-15,164570864.47000003
2010-12-16,163431574.95
2010-12-17,165324216.6
2010-12-18,157311828.94
2010-12-19,142709489.51000002
2010-12-20,161893406.0
2010-12-21,162427504.29
2010-12-22,161547622.39999995
2010-12-23,159763420.8
2010-12-24,144148439.74
2010-12-25,123249822.88000001
2010-12-26,127699431.00000003
2010-12-27,153687521.88
2010-12-28,151884839.94
2010-12-29,152858657.98
2010-12-30,152604702.16000003
2010-12-31,137762963.14000002
2011-01-01,116040630.76
2011-01-02,119802775.25999999
2011-01-03,143660577.13
2011-01-04,146662549.93
2011-01-05,148455675.73
2011-01-06,151323757.48000002
2011-01-07,151775352.92
2011-01-08,148899571.10000002
2011-01-09,131873417.15999998
2011-01-10,136866354.54
2011-01-11,157367734.87
2011-01-12,163033259.9
2011-01-13,162956077.91000003
2011-01-14,163196651.23000002
2011-01-15,157478677.92
2011-01-16,141155076.95999998
2011-01-17,160705201.63
2011-01-18,165218438.62000003
2011-01-19,166217340.32000002
2011-01-20,164547468.24
2011-01-21,165628958.95999998
2011-01-22,157232581.64999998
2011-01-23,142019857.82
