fecha,vol_util
2010-07-19,9314310819.1
2010-07-20,9401040651.4
2010-07-21,9433815566.7
2010-07-22,9410380141.7
2010-07-23,9409686583.0
2010-07-24,9411481688.3
2010-07-25,9411528190.1
2010-07-26,9486401955.6
2010-07-27,9577034958.1
2010-07-28,9627540520.9
2010-07-29,9654244676.3
2010-07-30,9668418062.4
2010-07-31,9723623335.0
2010-08-01,9830891894.5
2010-08-02,9859746320.8
2010-08-03,9890399414.5
2010-08-04,9922642737.6
2010-08-05,9917907214.9
2010-08-06,9905173423.0
2010-08-07,9902241536.9
2010-08-08,9902267928.8
2010-08-09,9921476985.1
2010-08-10,9887186948.0
2010-08-11,9844461011.3
2010-08-12,9805706470.3
2010-08-13,9800577624.5
2010-08-14,9838320819.3
2010-08-15,9868874815.9
2010-08-16,9886623381.5
2010-08-17,9873295310.9
2010-08-18,9878162675.0
2010-08-19,9850859705.8
2010-08-20,9840434019.8
2010-08-21,9799398638.0
2010-08-22,9771865002.3
2010-08-23,9718795573.7
2010-08-24,9698180653.3
2010-08-25,9711099573.5
2010-08-26,9711524852.4
2010-08-27,9726914975.3
2010-08-28,9831100857.1
2010-08-29,9900076218.1
2010-08-30,9890956450.2
2010-08-31,9868837454.7
2010-09-01,9852262659.1
2010-09-02,9898487781.9
2010-09-03,9975593128.6
2010-09-04,10013645879.3
2010-09-05,10062865372.1
2010-09-06,10081234598.4
2010-09-07,10180157181.8
2010-09-08,10209928792.4
2010-09-09,10190742453.1
2010-09-10,10161728427.3
2010-09-11,10163556072.7
2010-09-12,10193332112.5
2010-09-13,10182192586.7
2010-09-14,10165747585.9
2010-09-15,10140851517.3
2010-09-16,10119169229.6
2010-09-17,10099664035.4
2010-09-18,10085142030.6
2010-09-19,10083005573.1
2010-09-20,10104377289.9
2010-09-21,10123519624.6
2010-09-22,10125947274.1
2010-09-23,10138143184.1
2010-09-24,10134209452.9
2010-09-25,10154555364.4
2010-09-26,10207100212.0
2010-09-27,10308446358.5
2010-09-28,10308211586.9
2010-09-29,10313660335.8
2010-09-30,10318276732.1
2010-10-01,10299394695.1
