precio_bolsa,demanda,disp_dec_hidraulica,disp_dec_no_termica,disp_dec_termica,disponibilidad_declarada,gen_hidraulica,gen_no_termica,gen_termica,generacion,aportes_energia,precio_oferta,vol_util,indice_ONI,vertimientos
120.5012283333333,113361581.12999998,356125.0,102616.66666666669,121611.60714285714,213690.15151515152,35796804.67,13362226.83,66260052.96,115419084.46,45616100.0,267.4376326530612,10006614779.0,1.5,0.0
118.49534000000006,125471806.71999998,353776.51515151514,102616.66666666669,121633.92857142857,212762.1212121212,46595646.99,13393741.63,67691806.16,127681194.78,43097100.0,277.1535918367347,9995146811.5,1.5,0.0
121.16014499999994,121145172.79,356579.54545454547,102616.66666666669,119455.35714285714,212774.24242424243,42578875.2,13046074.83,68012828.41,123637778.44,43400400.0,313.55275510204086,9992677303.1,1.5,0.0
123.96293666666662,143931718.94000003,341617.42424242425,102616.66666666669,116611.60714285714,205341.66666666663,62242326.79,13160643.95,70554488.25,145957458.99,40410400.0,303.5198775510204,9965341213.6,1.5,0.0
120.6664366666666,149869127.57,346125.0,102616.66666666669,116613.09523809524,207145.45454545456,69173462.65,14514419.15,68460147.28999999,152148029.09,41190600.0,339.6004489795919,9926759570.3,1.5,0.0
125.92060333333328,150379646.33,338897.7272727273,104616.66666666669,111611.60714285714,201890.15151515152,69723841.63,14751943.88,68450441.25,152926226.76,41733100.0,331.67179591836737,9886867462.7,1.5,0.0
130.82151833333333,149729913.23,335392.04545454547,104616.66666666669,109104.16666666666,199211.36363636365,72673134.59,15217924.69,64157331.38,152048390.66,39732000.0,363.025224489796,9845173840.0,1.5,0.0
153.0688533333333,151087459.53,343905.30303030304,105791.66666666666,111769.34523809524,204080.303030303,73179007.57,13739421.37,66883989.620000005,153802418.56,37078100.0,363.8441836734693,9805162371.6,1.5,0.0
151.6499366666666,143868742.42,339125.0,117200.0,109586.30952380953,202093.9393939394,67593662.09,15079280.06,63824175.04,146497117.19,46893900.0,302.5368979591837,9776947710.4,1.5,0.0
198.85393666666667,126779105.90999997,332575.7575757576,113066.66666666669,101229.16666666666,194843.9393939394,54051541.1,14548016.08,61161166.25,129760723.43,44906900.0,347.4071632653062,9761769838.4,1.5,0.0
199.85393666666667,129057990.07,339034.0909090909,113066.66666666669,107441.96428571428,200590.15151515152,52285897.36,14704539.13,64938003.63,131928440.12,42546900.0,348.3094693877552,9747520085.7,1.5,0.0
173.4508116666666,149508573.04,334994.3181818182,110666.66666666669,116897.32142857143,203569.696969697,67627176.41,14499110.59,69870535.1,151996822.1,39807200.0,307.818918367347,9708733236.2,1.5,0.0
177.36122833333343,153763913.36999995,325534.0909090909,115666.66666666669,116372.0238095238,199972.7272727273,76215084.13,15023525.89,64780866.4,156019476.42,39987000.0,299.28412244897964,9665265897.6,1.5,0.0
189.43727,155549588.27,327435.6060606061,115666.66666666669,111601.19047619047,198304.54545454544,77007082.07,15103938.4,65869677.31,157980697.78,34998300.0,307.88344897959195,9617464150.2,1.5,0.0
168.11081166666662,155550356.51000005,328715.9090909091,115666.66666666669,111023.80952380953,198522.7272727273,73719181.64999999,15099646.24,69545778.07000001,158364605.96,34303900.0,298.745918367347,9571086832.7,1.5,0.0
168.8539366666666,148330057.20000002,338500.0,108466.66666666669,111016.36904761904,201778.0303030303,69791384.86,14073924.36,66771531.39,150636840.60999998,35344500.0,262.1837959183673,9530126077.4,1.5,0.0
165.58310333333327,132970451.83999996,337678.03030303033,105466.66666666669,117514.88095238096,204484.84848484848,52101331.16,14153941.15,68926986.17999999,135182258.49,36487400.0,296.7715102040816,9514835376.6,1.5,0.0
174.14560333333327,153844141.23999998,339821.96969696967,108733.33333333331,115266.36904761904,204494.696969697,74016020.5,13879931.74,68526279.19,156422231.43,36928400.0,346.0058979591837,9468375378.6,1.5,0.0
159.66826999999995,157369954.59999996,342662.87878787884,106866.66666666669,114163.69047619047,204900.0,79318751.27,14677798.72,66045389.96,160041939.95,40295600.0,261.93673469387755,9418430092.4,1.5,0.0
168.22876999999994,158516513.76000008,343988.63636363635,110866.66666666669,113815.4761904762,205616.66666666663,80014744.58,14673394.13,65868023.03,160556161.74,40389000.0,308.69130612244896,9373463967.6,1.5,0.0
148.40739499999995,158508777.0,332901.51515151514,106866.66666666669,116514.88095238096,202192.42424242423,76095984.33,14647014.62,70547140.98,161290139.93,35779400.0,266.3417755102041,9328033156.6,1.5,0.0
145.47385333333327,158439324.22000003,325761.36363636365,104866.66666666669,116555.05952380953,199175.0,76971812.39,14741846.06,69244604.63,160958263.08,34106500.0,303.506612244898,9274408226.9,1.5,0.0
156.31226999999993,150582338.5,336681.8181818182,99166.66666666669,114269.34523809524,201861.36363636365,69569648.24000001,14216513.19,69645669.81,153431831.24,34997900.0,297.495,9234836602.3,1.5,0.0
153.93726999999993,134015753.06,339382.57575757575,99166.66666666669,111913.69047619047,201742.42424242423,54014433.37,13998295.82,68335418.97,136348148.16,39007400.0,300.219,9212886487.1,1.5,0.0
160.49610333333328,156766331.07000002,318000.0,103000.0,109683.03571428572,192402.27272727276,76453239.76,14681085.56,68079920.16,159214245.48,38347000.0,346.8656734693878,9169644165.1,1.5,0.0
153.1941866666666,156757117.9,307594.69696969696,104500.0,109626.48809523808,188347.7272727273,76895445.18,14141815.45,68063929.02,159101189.65,44399500.0,265.9148571428572,9130480818.7,1.5,0.0
146.96722833333328,156989446.78,303909.0909090909,103000.0,102968.75,183347.7272727273,79382827.5,14653674.3,65125333.49,159161835.29,37230100.0,256.7127551020409,9081035099.5,1.5,0.0
