codigo_recurso,tipo_generacion,combustible,estado
MRL1,TERMICA,GAS,OPERACION
NAV1,HIDRAULICA,AGUA,OPERACION
NIM1,HIDRAULICA,AGUA,OPERACION
NQU1,HIDRAULICA,AGUA,OPERACION
NTB1,HIDRAULICA,AGUA,OPERACION
OVJ1,HIDRAULICA,AGUA,OPERACION
PES1,HIDRAULICA,AGUA,OPERACION
PGUG,HIDRAULICA,AGUA,OPERACION
PIC1,COGENERADOR,BAGAZO,OPERACION
PJR1,HIDRAULICA,AGUA,OPERACION
PLM1,HIDRAULICA,AGUA,OPERACION
PLU1,HIDRAULICA,AGUA,OPERACION
PLYS,HIDRAULICA,AGUA,OPERACION
PMR1,HIDRAULICA,AGUA,OPERACION
PNC1,COGENERADOR,BAGAZO,OPERACION
PPA1,TERMICA,CARBON,OPERACION
PPA2,TERMICA,CARBON,OPERACION
PPA3,TERMICA,CARBON,OPERACION
PPA4,TERMICA,CARBON,OPERACION
PPN1,COGENERADOR,GAS,OPERACION
PRC2,HIDRAULICA,AGUA,OPERACION
PRC3,HIDRAULICA,AGUA,OPERACION
PRD4,HIDRAULICA,AGUA,OPERACION
PRDO,HIDRAULICA,AGUA,OPERACION
PRG1,TERMICA,GAS,OPERACION
PRG2,TERMICA,GAS,OPERACION
PRV1,HIDRAULICA,AGUA,OPERACION
