codigo_recurso,tipo_generacion,combustible,estado
3EFW,SOLAR,RAD SOLAR,OPERACION
3EFY,SOLAR,RAD SOLAR,OPERACION
3EG2,SOLAR,RAD SOLAR,OPERACION
3EGG,SOLAR,RAD SOLAR,OPERACION
3EGI,SOLAR,RAD SOLAR,OPERACION
3EGK,SOLAR,RAD SOLAR,OPERACION
3EGM,SOLAR,RAD SOLAR,OPERACION
3EGO,SOLAR,RAD SOLAR,OPERACION
3EGQ,SOLAR,RAD SOLAR,OPERACION
3EGS,SOLAR,RAD SOLAR,OPERACION
3EGU,SOLAR,RAD SOLAR,OPERACION
3EGW,SOLAR,RAD SOLAR,OPERACION
3EHZ,SOLAR,RAD SOLAR,OPERACION
3EJI,SOLAR,RAD SOLAR,OPERACION
3EJK,SOLAR,RAD SOLAR,OPERACION
3EJM,SOLAR,RAD SOLAR,OPERACION
3EJO,SOLAR,RAD SOLAR,OPERACION
3EL3,SOLAR,RAD SOLAR,OPERACION
3EL5,SOLAR,RAD SOLAR,OPERACION
3EL7,SOLAR,RAD SOLAR,OPERACION
3EL9,SOLAR,RAD SOLAR,OPERACION
3EM4,SOLAR,RAD SOLAR,OPERACION
3EM6,SOLAR,RAD SOLAR,OPERACION
3EM8,SOLAR,RAD SOLAR,OPERACION
3ENA,TERMICA,GAS,OPERACION
3ENC,SOLAR,RAD SOLAR,OPERACION
3ENE,SOLAR,RAD SOLAR,OPERACION
3EO1,SOLAR,RAD SOLAR,OPERACION
3EO3,SOLAR,RAD SOLAR,OPERACION
3EO5,SOLAR,RAD SOLAR,OPERACION
3EO7,SOLAR,RAD SOLAR,OPERACION
3EP6,SOLAR,RAD SOLAR,OPERACION
3EPJ,SOLAR,RAD SOLAR,OPERACION
3EPL,SOLAR,RAD SOLAR,OPERACION
3EPN,SOLAR,RAD SOLAR,OPERACION
3ESO,SOLAR,RAD SOLAR,OPERACION
3EV1,SOLAR,RAD SOLAR,OPERACION
3EV3,SOLAR,RAD SOLAR,OPERACION
3EX9,SOLAR,RAD SOLAR,OPERACION
3EXB,SOLAR,RAD SOLAR,OPERACION
3EXH,EOLICA,VIENTO,PRUEBAS
3F2N,SOLAR,RAD SOLAR,OPERACION
3F2P,SOLAR,RAD SOLAR,OPERACION
3F3A,SOLAR,RAD SOLAR,OPERACION
3F3C,SOLAR,RAD SOLAR,OPERACION
3F4K,SOLAR,RAD SOLAR,OPERACION
3F4M,SOLAR,RAD SOLAR,OPERACION
3F5L,SOLAR,RAD SOLAR,OPERACION
3F5N,SOLAR,RAD SOLAR,OPERACION
3F7M,SOLAR,RAD SOLAR,OPERACION
