fecha,precio_bolsa
2020-01-01,136.49220333333335
2020-01-02,254.3980833333333
2020-01-03,232.10025666666664
2020-01-04,211.94645666666665
2020-01-05,227.64241833333335
2020-01-06,208.6019133333334
2020-01-07,260.99168999999995
2020-01-08,264.2665316666667
2020-01-09,293.57192666666674
2020-01-10,307.4932933333334
2020-01-11,292.21528500000005
2020-01-12,309.29155999999995
2020-01-13,356.51337999999987
2020-01-14,321.3293616666667
2020-01-15,347.3475516666667
2020-01-16,361.3774516666667
2020-01-17,358.2492333333333
2020-01-18,355.72484333333324
2020-01-19,325.1631633333332
2020-01-20,418.56336999999985
2020-01-21,417.50024666666656
2020-01-22,379.6876733333333
2020-01-23,368.3020800000001
2020-01-24,390.0148133333332
2020-01-25,385.64637333333326
2020-01-26,369.02495
2020-01-27,376.81317000000007
2020-01-28,363.0874733333333
2020-01-29,373.97786666666667
2020-01-30,371.4107199999999
2020-01-31,375.98309666666665
