fecha,disp_real_hidraulica,disp_real,disp_real_termica,disponibilidad_real
2010-01-01,360934.28030303033,127312.5,133419.4135802469,227398.64779874214
2010-01-02,360375.1515151515,125020.83333333334,133472.22222222222,227020.50314465407
2010-01-03,363128.78787878784,102616.66666666667,136254.375,227255.29088050313
2010-01-04,348049.24242424243,102616.66666666667,144296.875,228103.75816993462
2010-01-05,352553.03030303033,115016.66666666667,140331.5451388889,229396.21732026144
2010-01-06,345291.6666666667,112616.66666666667,135125.0,221877.40384615384
2010-01-07,339974.0909090909,119416.66666666667,135121.52777777778,221949.60784313726
2010-01-08,343424.5833333333,111241.77898550725,137488.79419191918,223750.60370327314
2010-01-09,345354.46969696967,118133.33333333333,133918.7003968254,223578.70214752568
2010-01-10,339125.0,113741.66666666667,134015.21848098506,222236.1671679198
2010-01-11,345681.8181818182,113066.66666666667,141387.74142524143,230221.70703446216
2010-01-12,339471.60984848486,110666.66666666667,147857.35507246378,228448.55833333332
2010-01-13,326160.6439393939,116891.66666666667,135598.7587616099,214422.33594308168
2010-01-14,333657.196969697,118991.66666666667,125974.83852258853,211523.82015573524
2010-01-15,337444.46969696967,117591.66666666667,127971.21503496503,213943.1746712407
2010-01-16,350069.54545454547,109466.66666666667,129730.67767042405,217622.06723027377
2010-01-17,343920.92803030304,110466.66666666667,132572.78806584363,216630.72273662552
2010-01-18,346551.42045454547,108733.33333333333,129329.96794871794,217554.28459119497
2010-01-19,346530.625,115866.66666666667,128592.46098104795,217856.8126196336
2010-01-20,341470.2083333333,117266.66666666667,126099.58403010035,214665.41700847688
2010-01-21,339214.6401515152,116266.66666666667,127007.50487329435,212467.74163417803
2010-01-22,331642.04545454547,117266.66666666667,129060.89743589744,212038.5220125786
2010-01-23,342162.9356060606,110166.66666666667,129870.9935897436,216133.2783018868
2010-01-24,345104.0151515152,110166.66666666667,133125.47619047618,220601.12637362635
2010-01-25,324605.8712121212,114000.0,128901.76282051283,208731.6037735849
2010-01-26,313551.96969696967,111433.36842105263,137014.63383838383,210660.02720705507
2010-01-27,310464.86742424243,113000.0,140684.98118729098,212619.63301282053
2010-01-28,321178.92045454547,109166.66666666667,136367.00378071834,214964.2134057971
2010-01-29,326483.86363636365,110000.0,137166.26811594202,217749.38333333333
2010-01-30,332484.46969696967,111636.36363636362,135043.75,217919.4147355912
2010-01-31,348875.54112554115,105625.0,134998.33333333334,222660.48534798532
