fecha,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,precio_bolsa
2010-01-01,4.203538121835728,3.5657706080246303,4.5107704403106945,1.3455842836592715,-0.6279479385853037,1.07800265342924,-1.006162176223195,1.4451849982020175,120.5012283333333
2010-01-02,4.160252156389774,2.9203348499992345,4.233935327775466,1.2350968500658446,-0.6093118886525376,1.2871154906085218,-1.051694672802319,1.0145953795321032,118.49534000000006
2010-01-03,4.349066106400621,3.0621396297141232,4.1754259773608675,1.408132757054125,-0.7331795443556868,0.8698893497143066,-0.8882778957123189,0.9896475719540221,121.16014499999994
2010-01-04,4.076867435250875,1.784140674051603,3.9339631586144703,1.0678409635634571,-0.6359923159985514,1.2487353612120375,-0.9092088135737671,0.2931619517609709,123.96293666666662
2010-01-05,4.22762783929288,1.3944440813378933,4.084858032173166,1.1725381664503896,-0.6443455512602422,1.478601668469197,-1.2404335216369995,-0.17406211403959848,120.6664366666666
2010-01-06,4.118378918154414,1.2407113513318506,4.418516009082996,1.0950965724007118,-0.6452393819812562,1.332831522473447,-1.159431039634837,-0.24595198125567466,125.92060333333328
2010-01-07,4.13175449534019,1.0797543944773365,4.559078129482265,1.138633649397303,-0.720027081378307,1.1914400558636173,-1.225094197948953,-0.35779346874658896,130.82151833333333
2010-01-08,4.135272227163569,1.166834466943162,3.921572843378488,1.1002696674799939,-0.7479641316635982,1.056256246725949,-0.9884477203308871,-0.30060170004087655,153.0688533333333
2010-01-09,3.842881250665945,1.5328098455976007,4.820082372064284,0.9970985254227844,-0.5633899283600643,1.3064658179840447,-1.2661561122793463,0.026894527799372004,151.6499366666666
2010-01-10,4.018814691093707,2.101114586168795,5.228375666568205,1.2322364471227354,-0.815273101404031,0.3051571987342375,-0.8401036641207251,0.38063432966498373,198.85393666666667
2010-01-11,4.290820477181484,2.1943747235063054,4.970014105999825,1.321271338044005,-0.7488937878910671,0.6487957972338356,-0.9476412807142106,0.33978907959529997,199.85393666666667
2010-01-12,4.167636222553005,1.4231190643463785,4.22940155224696,1.0203288284703964,-0.4775383532736358,1.609678622644467,-1.171853250648074,0.020394600010845216,173.4508116666666
2010-01-13,3.8982135673420903,1.058732586038028,4.340132727439691,0.8509957822564502,-0.40473343525105154,1.8395960292081865,-1.367856454781682,-0.024958256318338534,177.36122833333343
2010-01-14,3.9162677539350184,0.9029396022364957,4.516780413385033,0.8162213077807033,-0.4917907075891432,1.6507449990267549,-1.2388980309335105,-0.2528351699765273,189.43727
