fecha,compras_contrato
2010-07-19,170612401.33000004
2010-07-20,159545506.33
2010-07-21,176012256.59000003
2010-07-22,177178666.53000003
2010-07-23,177450985.86
2010-07-24,171091150.77
2010-07-25,159927644.79000005
2010-07-26,178145418.88
2010-07-27,180747018.32999998
2010-07-28,178846513.17000002
2010-07-29,180009379.11
2010-07-30,178221597.29999995
2010-07-31,170185493.31000003
2010-08-01,154876252.07
2010-08-02,171751996.5
2010-08-03,174737769.88
2010-08-04,175221031.59
2010-08-05,174265674.42
2010-08-06,173187034.3
2010-08-07,158782960.70000005
2010-08-08,155162644.94
2010-08-09,174671840.55
2010-08-10,177538571.26999998
2010-08-11,176233016.38
2010-08-12,177027618.00000003
2010-08-13,177311685.27
2010-08-14,171629192.32
2010-08-15,156543782.02
2010-08-16,157571639.91000003
2010-08-17,174790452.62
2010-08-18,177345403.1
2010-08-19,178900100.89
2010-08-20,177934906.37
2010-08-21,171388053.42000002
2010-08-22,159597317.95999998
2010-08-23,179290946.84
2010-08-24,180661702.29000002
2010-08-25,178686756.33
2010-08-26,180178032.5
2010-08-27,179296601.70000005
2010-08-28,171156434.99
2010-08-29,159782435.05
2010-08-30,179996983.71
2010-08-31,185698377.20999998
2010-09-01,189533032.39000002
2010-09-02,188078920.66
2010-09-03,183123950.93000007
2010-09-04,176060953.46
2010-09-05,164117941.89
2010-09-06,182485978.32999998
2010-09-07,184363241.93
2010-09-08,183188994.32
2010-09-09,182869652.19
2010-09-10,179669835.01999998
2010-09-11,172361881.92
2010-09-12,161094104.79
2010-09-13,178950460.12000003
2010-09-14,181200659.15
2010-09-15,182697385.64000002
2010-09-16,182155273.04
2010-09-17,183049490.78999996
2010-09-18,175129667.28
2010-09-19,162381999.16999996
2010-09-20,184707475.42
2010-09-21,183934237.78
2010-09-22,190082456.44
2010-09-23,190593023.42
2010-09-24,191726984.94999996
2010-09-25,181951899.05999997
2010-09-26,166603879.10000002
2010-09-27,187997544.10000002
2010-09-28,191369252.95
2010-09-29,192770215.29
2010-09-30,192583460.78999996
2010-10-01,189544598.56999996
2010-10-02,182486001.98999998
2010-10-03,165502864.59999996
2010-10-04,191145017.95999998
2010-10-05,190810980.40000004
2010-10-06,195702837.13
2010-10-07,194912693.39000002
2010-10-08,194185521.75
2010-10-09,185530903.77
2010-10-10,172727413.28
2010-10-11,194675726.35999998
2010-10-12,196722331.20999998
2010-10-13,196618514.09
2010-10-14,194450467.94
2010-10-15,196928686.78999996
2010-10-16,188547361.50000003
2010-10-17,173422707.15
2010-10-18,174014033.02999997
2010-10-19,193795618.46999997
2010-10-20,194182267.04
2010-10-21,193492880.66000003
2010-10-22,194344472.07
2010-10-23,187293192.57
2010-10-24,174635176.58000007
2010-10-25,193348574.73
2010-10-26,195652287.66
2010-10-27,195142221.65
2010-10-28,193169666.48999998
2010-10-29,194201938.64000002
2010-10-30,186702763.66
2010-10-31,172306731.56
2010-11-01,173566628.75
2010-11-02,191499986.01999998
2010-11-03,184990045.66
2010-11-04,185105462.66999996
2010-11-05,187721957.9
2010-11-06,179290855.43
2010-11-07,166590271.15
2010-11-08,184541044.89
2010-11-09,187278269.08999997
2010-11-10,187354046.37000003
2010-11-11,186996784.66
2010-11-12,186186423.78000003
2010-11-13,177965351.87999997
2010-11-14,164623935.55999997
2010-11-15,165882834.83000007
2010-11-16,181229452.89000002
2010-11-17,182567424.54000002
2010-11-18,183942293.36
2010-11-19,183421331.32000005
2010-11-20,175973820.24000004
2010-11-21,162777831.94000006
2010-11-22,180338631.07999995
2010-11-23,182654152.45999998
2010-11-24,187212604.11999997
2010-11-25,186183268.92999998
2010-11-26,185978800.64
2010-11-27,177477087.19000003
2010-11-28,163651225.33
2010-11-29,182196732.07
2010-11-30,184123829.65
2010-12-01,168939007.70999998
2010-12-02,167299396.44
2010-12-03,167087938.59
2010-12-04,160610583.14999998
2010-12-05,150538639.25
2010-12-06,166370291.45999998
2010-12-07,167401415.05999997
2010-12-08,153120455.17999998
2010-12-09,167451139.21999997
2010-12-10,167978993.47000003
2010-12-11,161642722.2
2010-12-12,150893383.41000003
2010-12-13,166436147.42999998
2010-12-14,165174273.07000002
2010-12-15,168985568.56999996
2010-12-16,169324242.32000002
2010-12-17,169497337.76000002
2010-12-18,161330866.67
2010-12-19,150796888.35
2010-12-20,166554260.43000004
2010-12-21,166760572.4
2010-12-22,167136318.83000004
2010-12-23,166885215.73000002
2010-12-24,158647852.44
2010-12-25,143103630.67
2010-12-26,146645740.70000002
2010-12-27,164781782.65
2010-12-28,165972088.95
2010-12-29,165336316.18
2010-12-30,163853372.54999998
2010-12-31,155361370.05
2011-01-01,131536467.27000001
2011-01-02,134196818.64000003
2011-01-03,153155911.66000003
2011-01-04,155713425.89000002
2011-01-05,156489028.72000003
2011-01-06,158022958.97000003
2011-01-07,157192766.27
2011-01-08,154728480.75999996
2011-01-09,143385593.71
2011-01-10,144162833.01000002
2011-01-11,162679101.73999995
2011-01-12,164108227.25999996
2011-01-13,164758055.43
2011-01-14,164640774.57999998
2011-01-15,158166073.72
2011-01-16,146727408.56
2011-01-17,162138800.83999997
2011-01-18,163943400.76
2011-01-19,164263764.45
2011-01-20,164965377.51999995
2011-01-21,165790120.49
2011-01-22,159681040.94
2011-01-23,148268569.35000002
2011-01-24,167415375.23000002
2011-01-25,168615085.15000004
2011-01-26,169373579.73999998
2011-01-27,165963022.48999995
2011-01-28,167035454.74999997
2011-01-29,157004063.50000003
2011-01-30,146533924.65
2011-01-31,164123450.58000007
2011-02-01,169973252.34999996
2011-02-02,168266626.17
2011-02-03,172560986.44000003
2011-02-04,171546759.76
2011-02-05,159942433.35
2011-02-06,145979886.70999998
2011-02-07,163865294.87
2011-02-08,164586650.04
2011-02-09,164757603.07
2011-02-10,164897488.81
2011-02-11,165894264.13000003
2011-02-12,159134888.92000002
2011-02-13,146585955.30999997
2011-02-14,165198222.3
2011-02-15,167169271.54999998
2011-02-16,164931822.76999998
2011-02-17,163910249.79
2011-02-18,163420661.13000003
2011-02-19,159282229.45
2011-02-20,146255255.32000002
2011-02-21,165224487.84000003
2011-02-22,167198553.74
2011-02-23,167183078.79999998
2011-02-24,166685746.40000004
2011-02-25,166694569.6
2011-02-26,159972914.24999997
2011-02-27,146872838.95999998
2011-02-28,165621705.14
2011-03-01,164813670.77999997
2011-03-02,164788728.29000002
2011-03-03,164556049.42999998
2011-03-04,164699312.35999998
2011-03-05,156805859.65
2011-03-06,144678190.24999997
2011-03-07,163400859.37
2011-03-08,164744135.07999998
2011-03-09,166404837.21
2011-03-10,165874990.48999998
2011-03-11,166248537.56999996
2011-03-12,159090996.54999995
2011-03-13,146464776.04000002
2011-03-14,165305632.67
2011-03-15,166445818.02
2011-03-16,166740760.18
2011-03-17,166009688.37
2011-03-18,166474321.14999998
2011-03-19,158156695.32000002
2011-03-20,144409441.15
2011-03-21,146808262.60000002
2011-03-22,162324683.44
2011-03-23,163520959.29000002
2011-03-24,163181272.04000002
2011-03-25,164894599.23
2011-03-26,157672788.16
2011-03-27,146272741.05
2011-03-28,164761212.21
2011-03-29,166793965.35
2011-03-30,166325790.59
2011-03-31,163770046.29999998
2011-04-01,164060957.76
2011-04-02,156914344.75000003
2011-04-03,148093888.19
2011-04-04,166446464.17
2011-04-05,167070580.65
2011-04-06,167146117.48
2011-04-07,167820665.24
2011-04-08,167482393.62999997
2011-04-09,159450353.07000005
2011-04-10,149379273.45999998
2011-04-11,166626642.59
2011-04-12,167661576.28
2011-04-13,167291329.82
2011-04-14,167553120.22999996
2011-04-15,167442936.51
2011-04-16,159456511.26999998
2011-04-17,150700090.83999997
