fecha,ventas_bolsa
2010-07-18,52030782.89
2010-07-19,56821225.50000001
2010-07-20,53313198.489999995
2010-07-21,54528854.739999995
2010-07-22,54938473.88999999
2010-07-23,54943964.25999999
2010-07-24,55583345.419999994
2010-07-25,54778034.83999999
2010-07-26,55814470.82
2010-07-27,55674483.64
2010-07-28,52501550.6
2010-07-29,53239525.0
2010-07-30,50967839.75
2010-07-31,53299849.48
2010-08-01,45181924.760000005
2010-08-02,52069250.529999994
2010-08-03,54474044.36
2010-08-04,55450177.27000001
2010-08-05,51915861.4
2010-08-06,52809988.59
2010-08-07,55353152.150000006
2010-08-08,52555862.989999995
2010-08-09,59025064.97999999
2010-08-10,52805852.61000001
2010-08-11,48612051.41
2010-08-12,47815656.78000001
2010-08-13,48188964.71
2010-08-14,47628186.26
2010-08-15,50326229.13
2010-08-16,48713755.35999999
2010-08-17,50398996.51
2010-08-18,50828985.349999994
2010-08-19,49954515.31999999
2010-08-20,41522834.06999999
2010-08-21,47339004.33999999
2010-08-22,46476028.45999999
2010-08-23,49029145.31
2010-08-24,47985031.56000001
2010-08-25,47892087.129999995
2010-08-26,41443276.00000001
2010-08-27,44186913.85
2010-08-28,47810945.95
2010-08-29,45692489.019999996
2010-08-30,46874886.93999999
2010-08-31,47751447.53
2010-09-01,46783003.309999995
2010-09-02,51079492.53000001
2010-09-03,55876179.05
2010-09-04,44141939.99
2010-09-05,46359218.91
2010-09-06,50790657.839999996
2010-09-07,50464926.71999999
2010-09-08,55884578.23999999
2010-09-09,48202428.95
2010-09-10,45709811.35000001
2010-09-11,47847478.309999995
2010-09-12,47746108.61000001
2010-09-13,51665770.00000001
2010-09-14,47903789.06999999
2010-09-15,48432427.02999999
2010-09-16,40826419.529999994
2010-09-17,48479860.72000001
2010-09-18,47519046.11
2010-09-19,42857905.56
2010-09-20,40088066.230000004
2010-09-21,42495700.129999995
2010-09-22,35785302.1
2010-09-23,39953775.96000001
2010-09-24,42584444.77000001
2010-09-25,43530536.83
2010-09-26,43601197.68
2010-09-27,40828525.370000005
2010-09-28,38786741.78000001
2010-09-29,40625163.01
2010-09-30,39925452.12
2010-10-01,39080954.279999994
2010-10-02,43036365.11999999
2010-10-03,45383352.10999999
2010-10-04,42113146.65
2010-10-05,42955540.95
2010-10-06,41204372.41000001
2010-10-07,40249138.41
2010-10-08,45909914.69
2010-10-09,51093083.249999985
2010-10-10,48113602.010000005
2010-10-11,48826291.32000001
2010-10-12,40910798.65
2010-10-13,43527328.51999999
2010-10-14,41345208.87
2010-10-15,39318207.04
2010-10-16,38911912.849999994
2010-10-17,40788529.5
2010-10-18,39009093.26
2010-10-19,41313211.440000005
2010-10-20,43600677.49
2010-10-21,49939264.400000006
2010-10-22,50483851.17000001
2010-10-23,52733612.900000006
2010-10-24,46018804.400000006
2010-10-25,47171362.08
2010-10-26,45747111.589999996
2010-10-27,47693385.0
2010-10-28,46853919.70999999
2010-10-29,52378038.12
2010-10-30,41295719.480000004
2010-10-31,32178292.929999996
2010-11-01,36017309.77000001
2010-11-02,38146317.37
2010-11-03,47556652.81999999
2010-11-04,45677784.4
2010-11-05,52044971.61
2010-11-06,49013678.440000005
2010-11-07,52719195.64
2010-11-08,42389423.64999999
2010-11-09,43923332.440000005
2010-11-10,51604153.57000001
2010-11-11,51395196.58
2010-11-12,53300292.37999999
2010-11-13,46724857.77
2010-11-14,46577852.790000014
2010-11-15,47250180.739999995
2010-11-16,52502889.15999999
2010-11-17,47915792.87999999
2010-11-18,53109311.650000006
2010-11-19,53739411.23
2010-11-20,57017931.36
2010-11-21,49871080.480000004
2010-11-22,50994181.87000001
2010-11-23,48787549.45999999
2010-11-24,54368693.720000006
2010-11-25,58234252.56000001
2010-11-26,56100453.77999999
2010-11-27,57426364.84
2010-11-28,49328325.88
2010-11-29,51150358.720000006
2010-11-30,56664384.82999999
2010-12-01,53956811.01000001
2010-12-02,53326565.179999985
2010-12-03,52825119.550000004
2010-12-04,50133322.41
2010-12-05,55720920.53999999
2010-12-06,55687038.82000001
2010-12-07,55271520.46000001
2010-12-08,49515235.79
2010-12-09,53292474.33
2010-12-10,57551308.07
2010-12-11,52876620.519999996
2010-12-12,52355760.39
2010-12-13,57629503.779999994
2010-12-14,56069373.55
2010-12-15,52370294.62
2010-12-16,56411420.54
2010-12-17,61555482.4
2010-12-18,60357674.080000006
2010-12-19,52746537.84
2010-12-20,55008060.07
2010-12-21,52347422.059999995
2010-12-22,53545119.41999999
2010-12-23,52873379.449999996
2010-12-24,52505610.20999999
2010-12-25,46373470.2
2010-12-26,48345072.18
2010-12-27,53330448.510000005
2010-12-28,54070111.82999998
2010-12-29,55552817.39
2010-12-30,56741009.85
2010-12-31,56616298.17999999
2011-01-01,48987312.72999999
2011-01-02,45254109.81
2011-01-03,49203449.25
2011-01-04,56250457.46
2011-01-05,52912597.21000001
2011-01-06,54646687.42
2011-01-07,58809784.739999995
2011-01-08,52856187.400000006
2011-01-09,52824334.33
2011-01-10,55139071.95
2011-01-11,52494434.42
2011-01-12,49992354.769999996
2011-01-13,45396777.79000001
2011-01-14,53127875.260000005
2011-01-15,56119823.779999994
2011-01-16,47676637.03000001
2011-01-17,50886639.18
2011-01-18,43511324.02
2011-01-19,45895421.699999996
2011-01-20,47190458.309999995
2011-01-21,52000101.05
2011-01-22,43870793.00000001
2011-01-23,43914992.94999999
2011-01-24,51765598.42
2011-01-25,46972295.97000001
2011-01-26,48128050.62999999
2011-01-27,50191104.1
2011-01-28,51479067.46000001
2011-01-29,40668747.260000005
2011-01-30,40612429.949999996
2011-01-31,40064318.970000006
2011-02-01,48178490.739999995
2011-02-02,48431454.550000004
2011-02-03,44390284.73
2011-02-04,50593102.49
2011-02-05,40203253.6
2011-02-06,37573522.48
2011-02-07,47012059.499999985
2011-02-08,50869075.86000001
2011-02-09,47417327.04999999
2011-02-10,45110534.33
2011-02-11,44493201.39999999
2011-02-12,48385448.12000002
2011-02-13,47339990.080000006
2011-02-14,41718637.83
2011-02-15,42100221.599999994
2011-02-16,42365417.1
2011-02-17,48323803.6
2011-02-18,44837678.12
2011-02-19,49125268.13
2011-02-20,43419103.489999995
2011-02-21,48216793.69
2011-02-22,43632715.47
2011-02-23,43348171.089999996
2011-02-24,45834266.97
2011-02-25,45847197.19
2011-02-26,47722176.68
2011-02-27,45314894.36000001
2011-02-28,51005250.96
2011-03-01,44559867.989999995
2011-03-02,45814540.14000001
2011-03-03,46596927.190000005
2011-03-04,46535174.30999999
2011-03-05,50307562.23999999
2011-03-06,47937023.67999999
2011-03-07,44646940.39
2011-03-08,43665824.5
2011-03-09,46304709.49
2011-03-10,42050680.31
2011-03-11,45566514.21999999
2011-03-12,43786123.309999995
2011-03-13,44679412.11
2011-03-14,43064628.54
2011-03-15,43452170.82999998
2011-03-16,47056334.57999999
2011-03-17,45996783.36000001
2011-03-18,43869601.970000006
2011-03-19,44419577.61
2011-03-20,48187103.57
2011-03-21,47350510.61999999
2011-03-22,50622075.11000001
2011-03-23,48535643.819999985
2011-03-24,44430264.73999999
2011-03-25,42669160.67000001
2011-03-26,43167165.089999996
2011-03-27,39642268.23
2011-03-28,43131921.25999999
2011-03-29,44364722.96000001
2011-03-30,44517317.120000005
2011-03-31,43394692.28
2011-04-01,51060972.56999999
2011-04-02,49846217.9
2011-04-03,45006335.730000004
2011-04-04,47247066.62
2011-04-05,47393809.82000001
2011-04-06,46270035.53
2011-04-07,48546728.14
2011-04-08,47753907.86
2011-04-09,46046160.29000001
2011-04-10,44948874.23
2011-04-11,45062089.87
2011-04-12,42090042.769999996
2011-04-13,40196336.10000001
2011-04-14,43109781.440000005
2011-04-15,44781855.730000004
2011-04-16,40806457.17000001
2011-04-17,41727353.85999999
2011-04-18,46242001.08
2011-04-19,45824896.53999999
2011-04-20,44577314.67
2011-04-21,44258755.24
2011-04-22,41207134.54
2011-04-23,44464189.48
2011-04-24,38600829.2
2011-04-25,44520488.38999999
2011-04-26,46665184.480000004
2011-04-27,47491996.980000004
2011-04-28,47484978.24
2011-04-29,50087725.04999999
2011-04-30,48882481.919999994
2011-05-01,44808769.88999999
2011-05-02,45329893.58
2011-05-03,40374384.949999996
2011-05-04,44980404.18000001
2011-05-05,45342492.940000005
2011-05-06,48567587.81
2011-05-07,44458883.199999996
2011-05-08,44141320.970000006
2011-05-09,44367498.660000004
2011-05-10,41864585.62
2011-05-11,44318205.92
2011-05-12,43048769.550000004
2011-05-13,43742354.980000004
2011-05-14,40291354.81999999
2011-05-15,36964659.980000004
2011-05-16,43589913.86
2011-05-17,43183373.99
