fecha,vertimientos
2010-10-31,5821815.35222
2010-11-01,3788461.81
2010-11-02,3518499.834
2010-11-03,6410187.16
2010-11-04,5452988.16
2010-11-05,3876729.12777
2010-11-06,4002228.12177
2010-11-07,7037981.68
2010-11-08,13391119.99
2010-11-09,14936350.324
2010-11-10,44599246.89888
2010-11-11,35298270.24005
2010-11-12,29146448.72083
2010-11-13,30314862.52259
2010-11-14,29326822.91533
2010-11-15,30426035.76738
2010-11-16,33397799.992
2010-11-17,47621647.10488
2010-11-18,46074463.13805
2010-11-19,47839933.086
2010-11-20,59527050.29943
2010-11-21,48965774.9881
2010-11-22,48781646.03008
2010-11-23,57114213.28
2010-11-24,60892049.91371
2010-11-25,57815134.54871
2010-11-26,48570223.38211
2010-11-27,44548456.8345
2010-11-28,64021263.40661
2010-11-29,61913023.30882
2010-11-30,59991120.41249
2010-12-01,48197118.51471
2010-12-02,58457654.78766
2010-12-03,69087803.83977
2010-12-04,92878770.838
2010-12-05,45693012.141
2010-12-06,52935284.66849
2010-12-07,57771918.28511
2010-12-08,61715155.38065
2010-12-09,63678574.92527
2010-12-10,71205996.48275
2010-12-11,48611196.074
2010-12-12,32873845.006
2010-12-13,26915401.582
2010-12-14,24090810.256
2010-12-15,28851343.24727
2010-12-16,44343541.62721
2010-12-17,38468715.86338
2010-12-18,45926004.8076
2010-12-19,32508654.71732
2010-12-20,23577666.90805
2010-12-21,18160579.9716
2010-12-22,11443066.09577
2010-12-23,9502759.5496
2010-12-24,12196619.78983
2010-12-25,6278741.346
2010-12-26,5991950.88
2010-12-27,6766857.53
2010-12-28,10472454.592
2010-12-29,12180766.398
2010-12-30,10333619.094
2010-12-31,13305636.95611
2011-01-01,4803694.49907
2011-01-02,4711744.32
2011-01-03,1704734.99155
2011-01-04,455854.992
2011-01-05,3889273.008
2011-01-06,4133237.376
2011-01-07,5955915.216
2011-01-08,5562440.3165
2011-01-09,4309408.38455
2011-01-10,2886958.32
2011-01-11,2584374.72
2011-01-12,3097743.36
2011-01-13,2588262.23222
2011-01-14,879662.89555
2011-01-15,1391850.24
2011-01-16,2078628.48
2011-01-17,2791704.0
2011-01-18,1883266.54444
2011-01-19,445567.21555
2011-02-01,692379.792
2011-02-22,19088.64
2011-02-26,237818.88
