fecha,precio_oferta
2010-01-01,267.4376326530612
2010-01-02,277.1535918367347
2010-01-03,313.55275510204086
2010-01-04,303.5198775510204
2010-01-05,339.6004489795919
2010-01-06,331.67179591836737
2010-01-07,363.02522448979596
2010-01-08,363.84418367346933
2010-01-09,302.5368979591837
2010-01-10,347.4071632653062
2010-01-11,348.3094693877552
2010-01-12,307.818918367347
2010-01-13,299.28412244897964
2010-01-14,307.88344897959195
2010-01-15,298.745918367347
2010-01-16,262.1837959183673
2010-01-17,296.7715102040816
2010-01-18,346.0058979591837
2010-01-19,261.93673469387755
2010-01-20,308.69130612244896
2010-01-21,266.3417755102041
2010-01-22,303.506612244898
2010-01-23,297.495
2010-01-24,300.219
2010-01-25,346.8656734693878
2010-01-26,265.91485714285716
2010-01-27,256.7127551020409
2010-01-28,309.1386326530613
2010-01-29,307.81928571428574
2010-01-30,343.3409795918368
2010-01-31,345.99483673469393
2010-02-01,350.1825102040816
2010-02-02,357.19610204081636
2010-02-03,316.7064489795918
2010-02-04,313.75620408163263
2010-02-05,318.8881632653061
2010-02-06,365.88916326530614
2010-02-07,323.12551020408165
2010-02-08,325.97242857142857
2010-02-09,369.67089795918366
2010-02-10,310.4747142857143
2010-02-11,315.077612244898
2010-02-12,354.18493877551026
2010-02-13,360.5939795918367
2010-02-14,381.1666734693878
2010-02-15,279.2253877551021
2010-02-16,353.58724489795924
2010-02-17,296.83653061224487
2010-02-18,325.2933673469388
2010-02-19,321.0082448979592
2010-02-20,244.43104081632654
2010-02-21,256.1792040816327
2010-02-22,267.01708163265306
2010-02-23,260.00848979591836
2010-02-24,252.89995918367347
2010-02-25,247.23473469387756
2010-02-26,226.61426530612246
2010-02-27,217.28585714285714
2010-02-28,211.1085918367347
2010-03-01,209.0817142857143
2010-03-02,208.50963265306123
2010-03-03,212.9901836734694
2010-03-04,216.8169795918367
2010-03-05,218.36402040816324
2010-03-06,222.0058163265306
2010-03-07,222.3806326530612
2010-03-08,230.238
2010-03-09,217.08197959183673
2010-03-10,214.179306122449
2010-03-11,221.2054285714286
2010-03-12,199.44671428571428
2010-03-13,226.2808979591837
2010-03-14,241.1824081632653
2010-03-15,263.631306122449
2010-03-16,261.3124285714286
2010-03-17,270.4338367346939
2010-03-18,244.04191836734697
2010-03-19,273.4263877551021
2010-03-20,272.40602040816333
2010-03-21,278.6314897959184
2010-03-22,333.35067346938786
2010-03-23,315.8432857142858
2010-03-24,324.0760000000001
2010-03-25,328.8977346938776
2010-03-26,279.5772244897959
2010-03-27,275.9555102040817
2010-03-28,301.7844693877551
2010-03-29,296.11161224489797
2010-03-30,295.4430408163266
2010-03-31,298.45904081632654
2010-04-01,285.2749183673469
2010-04-02,269.57483673469386
2010-04-03,261.6593469387755
2010-04-04,261.72687755102044
2010-04-05,247.78763265306125
2010-04-06,262.17106122448985
2010-04-07,269.20891836734694
2010-04-08,264.47716326530616
2010-04-09,226.04610204081632
2010-04-10,234.15997959183673
2010-04-11,207.00846938775513
2010-04-12,210.75873469387756
2010-04-13,216.34391836734696
2010-04-14,215.78202040816325
2010-04-15,225.60424489795918
2010-04-16,226.31785714285715
2010-04-17,233.731693877551
2010-04-18,224.07299999999998
2010-04-19,208.75473469387754
2010-04-20,204.04473469387753
2010-04-21,209.74944897959185
2010-04-22,205.29730612244896
2010-04-23,205.5260408163265
2010-04-24,216.18795918367346
2010-04-25,218.1190816326531
2010-04-26,213.22918367346938
2010-04-27,219.38114285714283
2010-04-28,201.35999999999999
2010-04-29,204.67061224489797
2010-04-30,219.4142857142857
2010-05-01,222.12718367346937
2010-05-02,227.104306122449
2010-05-03,229.0307551020408
2010-05-04,236.50508163265306
2010-05-05,229.95867346938772
2010-05-06,239.7102857142857
2010-05-07,233.29753061224488
2010-05-08,217.83830612244896
2010-05-09,238.73279591836737
2010-05-10,237.7631224489796
2010-05-11,242.92573469387756
2010-05-12,252.9078367346939
2010-05-13,233.08887755102043
2010-05-14,227.08020408163267
2010-05-15,220.85061224489797
2010-05-16,228.89114285714288
2010-05-17,223.02069387755105
2010-05-18,232.94769387755102
2010-05-19,224.16957142857146
2010-05-20,238.37561224489798
2010-05-21,240.9060612244898
2010-05-22,235.85763265306122
2010-05-23,234.34214285714287
2010-05-24,232.08563265306123
2010-05-25,229.04448979591837
2010-05-26,226.63238775510206
2010-05-27,225.9602857142857
2010-05-28,223.41646938775511
2010-05-29,214.5881224489796
2010-05-30,217.03263265306123
2010-05-31,228.32838775510206
2010-06-01,238.6647142857143
2010-06-02,242.05851020408164
2010-06-03,223.73655102040817
2010-06-04,200.32475510204083
2010-06-05,214.49402040816327
2010-06-06,219.52469387755104
2010-06-07,223.18563265306122
2010-06-08,223.86722448979594
2010-06-09,226.17020408163265
2010-06-10,235.7934897959184
2010-06-11,223.3316530612245
2010-06-12,217.78038775510203
2010-06-13,219.78132653061223
2010-06-14,218.72595918367347
2010-06-15,222.91248979591836
2010-06-16,222.16487755102045
2010-06-17,218.00814285714287
2010-06-18,211.3816530612245
2010-06-19,210.1681428571429
2010-06-20,216.71087755102042
2010-06-21,217.0097755102041
2010-06-22,202.6770204081633
2010-06-23,207.74142857142857
2010-06-24,204.28557142857144
2010-06-25,207.22765306122452
2010-06-26,208.21212244897958
2010-06-27,206.61775510204083
2010-06-28,198.75822448979594
2010-06-29,203.66622448979592
2010-06-30,201.62210204081634
2010-07-01,206.11032653061227
2010-07-02,203.76808163265306
2010-07-03,213.11332653061226
2010-07-04,213.19951020408163
2010-07-05,213.4436530612245
2010-07-06,209.25814285714284
