fecha,aportes_energia
2010-08-03,193769500.0
2010-08-04,191863500.0
2010-08-05,151075900.0
2010-08-06,140977600.0
2010-08-07,125269100.0
2010-08-08,127456600.0
2010-08-09,172718300.0
2010-08-10,115962400.0
2010-08-11,104355600.0
2010-08-12,105516000.0
2010-08-13,135828000.0
2010-08-14,179229300.0
2010-08-15,149333100.0
2010-08-16,139918400.0
2010-08-17,134121500.0
2010-08-18,155785200.0
2010-08-19,121218000.0
2010-08-20,138423700.0
2010-08-21,101698200.0
2010-08-22,92823000.0
2010-08-23,93907200.0
2010-08-24,141206400.0
2010-08-25,170335900.0
2010-08-26,135597500.0
2010-08-27,148972300.0
2010-08-28,272264400.0
2010-08-29,224927100.0
2010-08-30,153360700.0
2010-08-31,143206600.0
2010-09-01,138963000.0
2010-09-02,200853300.0
2010-09-03,225872300.0
2010-09-04,179542200.0
2010-09-05,171876100.0
2010-09-06,166682700.0
2010-09-07,264365600.0
2010-09-08,191905700.0
2010-09-09,166932600.0
2010-09-10,135303200.0
2010-09-11,150576300.0
2010-09-12,166047500.0
2010-09-13,148471600.0
2010-09-14,138270400.0
2010-09-15,130920300.0
2010-09-16,123375800.0
2010-09-17,130021800.0
2010-09-18,129496200.0
2010-09-19,118311200.0
2010-09-20,163762200.0
2010-09-21,171081700.0
2010-09-22,147549500.0
2010-09-23,157212100.0
2010-09-24,136206500.0
2010-09-25,151072100.0
2010-09-26,179235300.0
2010-09-27,260841600.0
2010-09-28,163930400.0
2010-09-29,165860900.0
2010-09-30,161252300.0
2010-10-01,134779800.0
2010-10-02,150608500.0
2010-10-03,148982800.0
2010-10-04,244500100.0
2010-10-05,247337800.0
2010-10-06,235219800.0
2010-10-07,199517800.0
2010-10-08,268199400.0
2010-10-09,174927600.0
2010-10-10,147907700.0
2010-10-11,140053500.0
2010-10-12,124077000.0
2010-10-13,113862700.0
2010-10-14,125378400.0
2010-10-15,133365600.0
2010-10-16,153535400.0
2010-10-17,133805900.0
2010-10-18,136255500.0
2010-10-19,166650200.0
2010-10-20,149194000.0
2010-10-21,131952000.0
2010-10-22,143027400.0
2010-10-23,175130800.0
2010-10-24,147733600.0
2010-10-25,131578500.0
2010-10-26,124354800.0
2010-10-27,128552200.0
2010-10-28,143400600.0
2010-10-29,179846800.0
2010-10-30,184312100.0
2010-10-31,199196800.0
2010-11-01,209744800.0
2010-11-02,249172700.0
2010-11-03,210786500.0
2010-11-04,164179800.0
2010-11-05,162088900.0
2010-11-06,217453600.0
2010-11-07,230762000.0
2010-11-08,271039900.0
2010-11-09,240831700.0
2010-11-10,307674700.0
2010-11-11,262106700.0
2010-11-12,261760000.0
2010-11-13,288554400.0
2010-11-14,325664500.0
2010-11-15,314210200.0
2010-11-16,313492000.0
2010-11-17,369563200.0
2010-11-18,255188900.0
2010-11-19,235226600.0
2010-11-20,243137100.0
2010-11-21,224581100.0
2010-11-22,210837900.0
2010-11-23,211061900.0
2010-11-24,265808000.0
2010-11-25,219902200.0
2010-11-26,202510600.0
2010-11-27,227826800.0
2010-11-28,249023300.0
2010-11-29,262528500.0
2010-11-30,236195900.0
2010-12-01,225677600.0
2010-12-02,288960600.0
2010-12-03,289254200.0
2010-12-04,297713000.0
2010-12-05,231484300.0
2010-12-06,197063400.0
2010-12-07,207093200.0
2010-12-08,257635700.0
2010-12-09,248747200.0
2010-12-10,235773900.0
2010-12-11,185583600.0
2010-12-12,159832900.0
2010-12-13,182631600.0
2010-12-14,184034900.0
2010-12-15,211844900.0
2010-12-16,187681800.0
2010-12-17,163817100.0
2010-12-18,162944500.0
2010-12-19,159405000.0
2010-12-20,157769500.0
2010-12-21,132282000.0
2010-12-22,124890600.0
2010-12-23,127858400.0
2010-12-24,135659900.0
2010-12-25,126878200.0
2010-12-26,245341500.0
2010-12-27,159361500.0
2010-12-28,131048900.0
2010-12-29,116609200.0
2010-12-30,112859600.0
2010-12-31,95050500.0
2011-01-01,104596800.0
2011-01-02,106861600.0
2011-01-03,105245700.0
2011-01-04,144518500.0
2011-01-05,157489600.0
2011-01-06,124619000.0
2011-01-07,136840400.0
2011-01-08,132770000.0
2011-01-09,156838800.0
2011-01-10,129095700.0
2011-01-11,113014100.0
2011-01-12,102323500.0
2011-01-13,101246800.0
2011-01-14,92691400.0
2011-01-15,100576200.0
2011-01-16,121981700.0
2011-01-17,96955900.0
2011-01-18,89703600.0
2011-01-19,85654400.0
2011-01-20,80894300.0
2011-01-21,77292500.0
2011-01-22,70565700.0
2011-01-23,71362000.0
2011-01-24,73267800.0
2011-01-25,68661600.0
2011-01-26,89536100.0
2011-01-27,102560000.0
2011-01-28,95150100.0
2011-01-29,85726100.0
2011-01-30,76218500.0
2011-01-31,95121800.0
2011-02-01,74728900.0
2011-02-02,70736000.0
2011-02-03,72301800.0
2011-02-04,69394100.0
2011-02-05,66812500.0
2011-02-06,84476700.0
2011-02-07,118322800.0
2011-02-08,94012100.0
2011-02-09,95509500.0
2011-02-10,108770000.0
2011-02-11,111236800.0
2011-02-12,106068900.0
2011-02-13,117947800.0
2011-02-14,119398100.0
2011-02-15,99256000.0
2011-02-16,118320300.0
2011-02-17,135258500.0
2011-02-18,120716800.0
2011-02-19,114677400.0
2011-02-20,95938800.0
2011-02-21,84601700.0
2011-02-22,84079500.0
2011-02-23,106326600.0
2011-02-24,112941800.0
2011-02-25,112346000.0
2011-02-26,108998000.0
2011-02-27,100775900.0
2011-02-28,101960000.0
2011-03-01,147549300.0
2011-03-02,181265200.0
2011-03-03,175840900.0
2011-03-04,178101000.0
2011-03-05,171163600.0
2011-03-06,162443900.0
2011-03-07,170535400.0
2011-03-08,150871700.0
2011-03-09,237943800.0
2011-03-10,251684500.0
2011-03-11,161067400.0
2011-03-12,138377300.0
2011-03-13,117457000.0
2011-03-14,111047400.0
2011-03-15,98403200.0
2011-03-16,94984300.0
2011-03-17,101544400.0
2011-03-18,149250100.0
2011-03-19,165284300.0
2011-03-20,236238300.0
2011-03-21,216971000.0
2011-03-22,209752700.0
2011-03-23,284227600.0
2011-03-24,249119900.0
2011-03-25,318911000.0
2011-03-26,293247000.0
2011-03-27,177846400.0
2011-03-28,169727800.0
2011-03-29,151652300.0
2011-03-30,138871500.0
2011-03-31,124423600.0
2011-04-01,115184500.0
2011-04-02,124526500.0
2011-04-03,111120300.0
2011-04-04,116240000.0
2011-04-05,128825500.0
2011-04-06,180343200.0
2011-04-07,158923900.0
2011-04-08,167817500.0
2011-04-09,185531100.0
2011-04-10,295892700.0
2011-04-11,256545300.0
2011-04-12,374940400.0
2011-04-13,385627900.0
2011-04-14,313821800.0
2011-04-15,414910700.0
2011-04-16,425822800.0
2011-04-17,460315100.0
2011-04-18,376759300.0
2011-04-19,455758000.0
2011-04-20,479942900.0
2011-04-21,501525500.0
2011-04-22,538753100.0
2011-04-23,591245300.0
2011-04-24,445144300.0
2011-04-25,407778200.0
2011-04-26,374309900.0
2011-04-27,386359500.0
2011-04-28,406474200.0
2011-04-29,311739000.0
2011-04-30,296890900.0
2011-05-01,350200400.0
2011-05-02,333059200.0
2011-05-03,419134400.0
2011-05-04,326491300.0
2011-05-05,270704600.0
2011-05-06,242393800.0
2011-05-07,288351400.0
2011-05-08,249430200.0
2011-05-09,230997900.0
2011-05-10,221984800.0
2011-05-11,224145500.0
2011-05-12,250215400.0
2011-05-13,318319300.0
2011-05-14,464266000.0
2011-05-15,303624900.0
2011-05-16,293535500.0
2011-05-17,272934700.0
2011-05-18,262815400.0
2011-05-19,244490600.0
2011-05-20,222010200.0
2011-05-21,266648200.0
2011-05-22,335713000.0
2011-05-23,241641400.0
2011-05-24,252001500.0
2011-05-25,297795800.0
2011-05-26,306464900.0
2011-05-27,274585700.0
2011-05-28,324341900.0
2011-05-29,295398900.0
2011-05-30,268433600.0
2011-05-31,260936200.0
2011-06-01,293980300.0
2011-06-02,385694700.0
2011-06-03,339061200.0
2011-06-04,366687200.0
2011-06-05,279902400.0
2011-06-06,262316600.0
2011-06-07,242960500.0
2011-06-08,202201100.0
2011-06-09,179418500.0
2011-06-10,175763000.0
2011-06-11,157822700.0
2011-06-12,155204200.0
2011-06-13,180610300.0
2011-06-14,212447500.0
2011-06-15,176127600.0
2011-06-16,165018700.0
2011-06-17,231913100.0
2011-06-18,219151900.0
2011-06-19,151016900.0
2011-06-20,161140700.0
2011-06-21,152723000.0
2011-06-22,176590700.0
2011-06-23,262706100.0
2011-06-24,230998300.0
2011-06-25,308965500.0
2011-06-26,266452600.0
2011-06-27,386723800.0
2011-06-28,198978700.0
2011-06-29,163357800.0
2011-06-30,187953700.0
2011-07-01,185155800.0
2011-07-02,154736300.0
2011-07-03,191235900.0
2011-07-04,169976800.0
2011-07-05,136419900.0
2011-07-06,191808100.0
2011-07-07,178179000.0
2011-07-08,133442200.0
2011-07-09,135075700.0
2011-07-10,133530800.0
2011-07-11,151468200.0
2011-07-12,169144600.0
2011-07-13,256197400.0
2011-07-14,304804600.0
2011-07-15,219059400.0
2011-07-16,198375000.0
2011-07-17,147387700.0
2011-07-18,251106200.0
2011-07-19,174872200.0
