fecha,gen_hidraulica,gen_no_termica,gen_termica,generacion
2010-03-28,81139837.98,4349486.64,55012302.75,140501627.37
2010-03-29,105657367.27,2803069.01,52689262.5,161149698.78
2010-03-30,105228928.4,5057516.55,50921780.839999996,161208225.79
2010-03-31,95229985.86,4619336.76,55560185.2,155409507.82
2010-04-01,57482833.04,8444842.879999999,64364697.57,130292373.49
2010-04-02,45571402.58,12392405.01,64528879.09,122492686.68
2010-04-03,55912930.7,14544906.18,65018772.190000005,135476609.07
2010-04-04,52938290.06,16130689.7,62607488.190000005,131676467.95
2010-04-05,85130033.28,13991485.23,57956163.9,157077682.41
2010-04-06,90161640.25,12007552.4,57199671.6,159368864.25
2010-04-07,95473998.60000001,8590911.75,56339015.43,160403925.78
2010-04-08,92555704.21,9547321.3,56701685.82,158804711.33
2010-04-09,94427980.57,10690177.59,55199962.7,160318120.86
2010-04-10,84288815.74,11558692.35,55782401.580000006,151629909.67000002
2010-04-11,60649011.03,17256610.16,57542995.57,135448616.76
2010-04-12,81431291.16,16628638.54,58399394.699999996,156459324.4
2010-04-13,86417766.44,16934994.81,56313544.98,159666306.23
2010-04-14,82812497.1,16122898.21,59031180.61,157966575.92000002
2010-04-15,84004148.37,16637618.9,58557753.87,159199521.14
2010-04-16,86459925.1,17137258.82,56711845.35,160309029.27
2010-04-17,77951622.81,16599627.14,57558393.62,152109643.57
2010-04-18,62310741.26,15431432.23,58791155.32,136533328.81
2010-04-19,105425066.19,6612472.32,47816923.11,159854461.62
2010-04-20,108556340.73,6423507.73,46023525.14,161003373.6
2010-04-21,108295698.8,6232945.21,48349983.65,162878627.66
2010-04-22,113358809.94,6262417.75,45928478.6,165549706.29
2010-04-23,115327657.9,6048265.3,45356552.46,166732475.66
2010-04-24,104635738.44,5912747.54,47141514.34,157690000.32
2010-04-25,88645112.78,5855682.42,45864150.6,140364945.8
2010-04-26,105504062.33,5796316.92,49390829.28,160691208.53
2010-04-27,103455332.45,5642454.39,54149310.27,163247097.11
2010-04-28,105905329.66,6042750.0,50150078.93,162098158.59
2010-04-29,102399582.44,6500420.6,52926231.03,161826234.07
2010-04-30,97455851.22,6501397.470000001,56097565.36,160054814.04999998
2010-05-01,79195671.79,5048509.12,55047036.87,139291217.78
2010-05-02,73126037.14,7580796.63,50756103.81,131462937.58
2010-05-03,100889595.03,6303564.44,48425777.12,155618936.59
2010-05-04,106348974.64,3520481.19,47595016.300000004,157464472.13
2010-05-05,107134489.91,2645423.5700000003,49061642.54,158841556.02
2010-05-06,108558006.31,2738090.0300000003,49511526.93000001,160807623.27
2010-05-07,110601412.22,2689665.51,49475478.629999995,162766556.36
2010-05-08,100990340.53999999,4192098.3,48602561.08,153784999.92
2010-05-09,84567282.57,2705243.17,47438133.06,134710658.8
2010-05-10,110208964.9,2622009.4699999997,48420058.71,161251033.07999998
2010-05-11,111096530.26,4134467.91,48387964.65,163618962.82
2010-05-12,107484763.76,5093059.26,50109531.63,162687354.65
2010-05-13,105797397.47,6498358.37,50493180.94,162788936.78
2010-05-14,106039761.03999999,6724167.470000001,51359153.71,164123082.22
2010-05-15,94778018.07,6837124.390000001,54138157.519999996,155753299.98
2010-05-16,77907282.63,6650124.58,53882778.43,138440185.64
2010-05-17,81265722.14,6617755.04,52943713.15,140827190.33
2010-05-18,110069809.05,6432177.96,48470378.92,164972365.93
2010-05-19,112028280.67999999,6285425.85,47863475.03,166177181.56
2010-05-20,115416187.58,6219860.8100000005,43135930.0,164771978.39
2010-05-21,106924591.08,4896613.699999999,49446131.59,161267336.37
2010-05-22,97489780.68,6577566.62,49286657.17,153354004.47
2010-05-23,84663569.85,7128872.27,44057756.31,135850198.43
2010-05-24,110999915.44,3608975.62,44049809.04,158658700.1
2010-05-25,112293073.24,3345152.9,45107354.61,160745580.75
2010-05-26,113913419.77,4051374.59,42844123.07,160808917.43
2010-05-27,107353334.29,7121798.48,43715516.46,158190649.23
2010-05-28,101232701.61,9047485.16,46329394.910000004,156609581.68
2010-05-29,91668300.19,7164468.99,50479918.67,149312687.85
2010-05-30,77635583.58,6522474.21,48378105.66,132536163.45
2010-05-31,105101178.93,4974357.73,46509638.25,156585174.91
2010-06-01,113725318.88,3713678.59,40662761.6,158101759.07
2010-06-02,117960347.81,4098298.71,35088503.18,157147149.7
2010-06-03,124518212.23,4341850.35,29869198.61,158729261.19
2010-06-04,138530607.29,3862662.98,21436034.25,163829304.52
2010-06-05,132637454.05,4278510.28,20111044.66,157027008.99
2010-06-06,119766755.85,4255167.13,16048076.8,140069999.78
2010-06-07,122238779.42,3378034.22,16132928.02,141749741.66
2010-06-08,138409759.87,3968434.13,20057188.35,162435382.35
2010-06-09,134088775.41,4264321.42,21496715.78,159849812.61
2010-06-10,133881869.11,3404519.4899999998,23743506.549999997,161029895.15
2010-06-11,136949378.36,3232623.1,21046283.71,161228285.17000002
2010-06-12,131574471.12,2992997.18,20065617.89,154633086.19
2010-06-13,114444975.92,3176868.73,18362666.95,135984511.6
2010-06-14,115401518.46,3758257.62,19287502.669999998,138447278.75
2010-06-15,130481593.03999999,3583273.07,25575266.770000003,159640132.88
2010-06-16,131029767.37,4029955.09,27490930.83,162550653.29
2010-06-17,133499114.37,3753951.81,27588750.73,164841816.91
2010-06-18,139286681.65,3812232.61,22061331.57,165160245.83
2010-06-19,111772447.83,5091498.12,33410107.07,150274053.02
2010-06-20,98954595.71000001,4740940.4,26119697.1,129815233.21000001
2010-06-21,128516170.17,3501318.5700000003,22958198.81,154975687.55
2010-06-22,133240870.79,2988244.58,21165482.0,157394597.37
2010-06-23,135403330.38,2878716.7399999998,22083604.77,160365651.89
2010-06-24,131558755.58,3466044.98,26171908.12,161196708.68
2010-06-25,137783279.4,2994170.74,20522496.400000002,161299946.54
2010-06-26,130878737.19,2995445.87,18796495.84,152670678.9
2010-06-27,109537126.38,2963276.03,19653126.29,132153528.7
2010-06-28,128670170.05,2952249.78,23043397.71,154665817.54
2010-06-29,133612109.00999999,2993847.82,22032791.49,158638748.32
2010-06-30,131754344.29,3694588.38,24221185.279999997,159670117.95
2010-07-01,122161781.05,3971078.27,31586076.89,157718936.21
2010-07-02,119753039.33,4591768.41,32751380.060000002,157096187.8
2010-07-03,126419582.72,5799760.58,18090328.09,150309671.39000002
2010-07-04,115061463.65,2889081.26,12976561.950000001,130927106.86
2010-07-05,116973475.64,2839849.38,14366632.910000002,134179957.93
2010-07-06,131330291.11,3175532.9,20930791.48,155436615.49
2010-07-07,132275147.37,2899769.08,21963598.23,157138514.68
2010-07-08,125796936.27,3217843.67,27425126.9,156439906.84
2010-07-09,127515795.86,3514688.04,24889132.3,155919616.2
2010-07-10,129964062.49,3389921.21,15461306.0,148815289.7
2010-07-11,114617373.74,3413454.63,14156603.499999998,132187431.87
2010-07-12,139493339.46,3373559.86,16660082.29,159526981.61
2010-07-13,139502521.29,3455879.57,19217577.84,162175978.7
2010-07-14,139725767.32,5933076.0,18876230.91,164535074.23000002
2010-07-15,136948699.5,6575208.49,18540842.77,162064750.76
2010-07-16,136505515.60999998,4610181.78,16615272.149999999,157730969.54
2010-07-17,130126586.83000001,3158183.54,14447182.94,147731953.31
2010-07-18,113517984.34,4757687.89,14635879.73,132911551.96
2010-07-19,132290265.75,3097571.28,18660272.46,154048109.49
2010-07-20,110416109.14,6289680.02,21844343.6,138550132.76
2010-07-21,141057580.88,3140461.1599999997,18462735.76,162660777.8
2010-07-22,141099235.18,3343936.99,19576626.799999997,164019798.97
2010-07-23,142218419.82,3293864.26,19966909.26,165479193.34
2010-07-24,136051782.56,4411516.13,17202476.18,157665774.87
2010-07-25,125712593.07000001,3699819.59,12173643.100000001,141586055.76
