fecha,precio_bolsa,demanda,disp_dec_hidraulica,disp_dec_no_termica,disp_dec_termica,disponibilidad_declarada,gen_hidraulica,gen_no_termica,gen_termica,generacion,aportes_energia,precio_oferta,vol_util,indice_ONI,vertimientos
2017-01-08,116.34423333333329,152062138.76999998,259413.2207207207,37272.22222222222,95695.21428571429,159462.95634920636,133092502.8,3747787.45,17523363.14,154363653.39,183269000.0,255.94067307692305,12328582400.0,-0.3,6106085.51166
2017-01-09,122.17519999999998,151727357.54999998,259803.35585585583,37286.458333333336,97745.34722222222,159752.8725490196,131731964.08,3942957.36,18576729.950000003,154251651.39,162421800.0,257.0927884615384,12344079600.0,-0.3,6039818.37249
2017-01-10,131.84109499999997,174321666.31,259166.19369369367,37184.02777777778,103952.51225490197,163490.8785140562,148286761.9,3311723.49,25148302.82,176746788.21,149167100.0,252.12436538461537,12329099200.0,-0.3,5011343.96555
2017-01-11,118.11043,177811770.15000004,254444.11632220456,37245.48611111112,105187.80637254904,161900.76570989843,151311875.38,3209003.04,25645100.95,180165979.37,145275600.0,249.17903846153845,12317741900.0,-0.3,4072544.26499
2017-01-12,126.33756000000005,179518167.7,255297.40879077837,37254.166666666664,102396.72619047618,160439.75645149365,156775445.38,3352957.89,21651479.57,181779882.84,135559900.0,244.3423653846154,12294819400.0,-0.3,3714096.30276
2017-01-13,117.44078999999998,179401981.20999998,260481.99146514936,37253.47222222222,102396.72619047618,162723.34247076022,161269592.1,3324647.64,17654839.38,182249079.12,144937400.0,242.91076923076923,12270612200.0,-0.3,3800250.16138
2017-01-14,69.69413500000003,170137534.08,256858.27846643637,37280.555555555555,102366.64285714286,161118.5174991049,149096004.32,3639968.85,19759077.56,172495050.73,130270300.0,239.07484615384615,12244126300.0,-0.3,4348508.58805
2017-01-15,84.86503333333339,151952620.29,259448.20768136557,37168.055555555555,106509.7794117647,164661.84157683366,130128260.84,3843712.86,20434384.92,154406358.62,116190000.0,241.02213461538457,12220175100.0,-0.3,5206644.32166
2017-01-16,89.3487433333333,177510326.93999997,259623.88335704122,37218.194444444445,106511.33578431373,164748.04137603042,156608118.16,3984821.69,19128792.29,179721732.14,115480400.0,240.18642307692306,12173251600.0,-0.3,4469378.38111
2017-01-17,96.04358666666667,180634220.86,254945.05452821244,37221.666666666664,103525.29761904763,160750.1480263158,158612302.72,4006662.67,20607330.49,183226295.88,129944800.0,240.16330769230765,12125235700.0,-0.3,3545795.15776
2017-01-18,111.54153666666672,178782885.82,253661.27074442865,37208.680555555555,103382.44047619049,160123.29286758564,161414360.35999998,3872166.23,16125203.480000002,181411730.07,154202600.0,240.68832692307691,12112413200.0,-0.3,2955604.83944
2017-01-19,106.28848999999997,180854319.06,251505.05452821244,37173.958333333336,108984.40656565658,162783.65773427472,163899953.47,3061562.68,16136502.930000003,183098019.07999998,153341500.0,241.69828846153845,12095171900.0,-0.3,1489216.65916
2017-01-20,110.21549333333337,182870599.03,250401.99146514936,37208.680555555555,103449.10714285714,158715.4357247285,164436463.21,3819493.96,17110681.39,185366638.56,141442800.0,242.96759615384613,12064563000.0,-0.3,1685875.72638
2017-01-21,101.67959666666665,171957029.54,248377.3447131342,37208.680555555555,103419.02380952382,157811.09231411864,156062487.62,3828300.73,14751320.190000001,174642108.54,156895500.0,237.83117307692308,12062083400.0,-0.3,291994.30111
2017-01-22,75.25484333333334,153224861.61999997,248413.4329065908,36962.15277777778,103409.5,157787.80179615706,137902707.21,3886137.71,13519140.230000002,155307985.15,123140300.0,242.93840384615382,12040312700.0,-0.3,785344.08944
2017-01-23,116.05506333333331,178074317.26999998,248060.8589040168,37007.291666666664,108158.39460784315,160237.64694114806,155996995.35,3694688.25,20958873.7,180650557.3,100860500.0,242.26063461538462,11981023100.0,-0.3,210105.82111
2017-01-24,148.96949000000004,182222739.42000002,253626.23856939646,36969.097222222226,108158.39460784315,162713.07723374703,156233173.29,3811724.67,24424069.02,184468966.98,90869900.0,241.55661538461538,11906938800.0,-0.3,222003.13555
2017-01-25,130.41198,183346984.70000002,251847.75723091513,36972.569444444445,108187.80637254904,161932.81045233566,159384585.11,3943402.0100000002,22693267.150000002,186021254.27,87623800.0,243.72686538461537,11826653400.0,-0.3,676138.72888
2017-01-26,144.22684666666666,185072910.02000004,259761.52777777778,36993.40277777778,101796.7261904762,160942.4246987952,160096294.93,3893187.74,23625438.439999998,187614921.11,116456700.0,237.10524999999996,11771871600.0,-0.3,1690068.42471
