fecha,precio_bolsa
2010-01-01,120.5012283333333
2010-01-02,118.49534000000006
2010-01-03,121.16014499999994
2010-01-04,123.96293666666662
2010-01-05,120.6664366666666
2010-01-06,125.92060333333329
2010-01-07,130.82151833333333
2010-01-08,153.06885333333327
2010-01-09,151.6499366666666
2010-01-10,198.85393666666667
2010-01-11,199.85393666666667
2010-01-12,173.4508116666666
2010-01-13,177.36122833333343
2010-01-14,189.43726999999998
2010-01-15,168.11081166666662
2010-01-16,168.8539366666666
2010-01-17,165.58310333333327
2010-01-18,174.14560333333327
2010-01-19,159.66826999999995
2010-01-20,168.22876999999994
2010-01-21,148.40739499999995
2010-01-22,145.47385333333327
2010-01-23,156.31226999999993
2010-01-24,153.93726999999993
2010-01-25,160.49610333333328
2010-01-26,153.1941866666666
2010-01-27,146.96722833333328
2010-01-28,142.7784366666666
2010-01-29,131.64022833333328
2010-01-30,146.43726999999993
2010-01-31,124.55531166666661
2010-02-01,130.6087616666667
2010-02-02,133.40637999999998
2010-02-03,127.49713666666669
2010-02-04,129.4265333333333
2010-02-05,130.34922000000003
2010-02-06,159.64293166666664
2010-02-07,132.02235166666662
2010-02-08,155.26313666666667
2010-02-09,172.68359166666673
2010-02-10,143.76172000000003
2010-02-11,139.61142833333335
2010-02-12,161.26422000000002
2010-02-13,175.26501499999998
2010-02-14,173.58300999999994
2010-02-15,232.15670833333334
2010-02-16,307.8282933333333
2010-02-17,244.78221333333337
2010-02-18,199.22880333333333
2010-02-19,184.67707000000007
2010-02-20,276.9737466666666
2010-02-21,245.54043833333333
2010-02-22,305.1457066666667
2010-02-23,291.8403333333334
2010-02-24,226.6307166666667
2010-02-25,240.10783000000004
2010-02-26,231.30047333333326
2010-02-27,227.07966
2010-02-28,198.87500333333335
2010-03-01,204.57699833333334
2010-03-02,186.9759383333333
2010-03-03,210.69030333333333
2010-03-04,216.70570333333328
2010-03-05,195.30890833333322
2010-03-06,192.27903
2010-03-07,182.2175666666667
2010-03-08,221.44288333333327
2010-03-09,204.77976999999998
2010-03-10,190.6517683333333
2010-03-11,192.55429500000002
2010-03-12,185.66976666666665
2010-03-13,181.62024833333328
2010-03-14,170.16638833333334
2010-03-15,164.84562666666667
2010-03-16,181.8595833333333
2010-03-17,190.31030499999997
2010-03-18,196.93691833333332
2010-03-19,208.0681099999999
2010-03-20,192.09713166666663
2010-03-21,160.59444333333337
2010-03-22,168.01293666666666
2010-03-23,167.04996999999995
2010-03-24,161.7200833333333
2010-03-25,156.67726666666664
2010-03-26,163.73664166666666
2010-03-27,162.29184999999998
2010-03-28,181.26958666666664
2010-03-29,186.98666999999998
2010-03-30,225.1638733333333
2010-03-31,286.17792000000003
2010-04-01,245.24158666666665
2010-04-02,225.98391166666667
2010-04-03,228.0580116666666
2010-04-04,217.98195666666666
2010-04-05,195.8643833333333
2010-04-06,157.66917999999993
2010-04-07,156.09309
2010-04-08,152.957485
2010-04-09,154.40424666666664
2010-04-10,155.536425
2010-04-11,278.07365999999996
2010-04-12,246.6417700000001
2010-04-13,248.61534999999995
2010-04-14,240.39594833333342
2010-04-15,251.33120999999994
2010-04-16,252.32108666666673
2010-04-17,252.57411333333332
2010-04-18,232.18103999999997
2010-04-19,159.94959666666665
2010-04-20,154.29722166666664
2010-04-21,156.12446500000001
2010-04-22,147.13827166666664
2010-04-23,154.02460500000004
2010-04-24,170.79642000000004
2010-04-25,176.97989833333335
2010-04-26,172.14910166666667
2010-04-27,166.20157833333332
2010-04-28,173.08923000000004
2010-04-29,178.99188
2010-04-30,164.42901166666667
2010-05-01,159.64652499999994
2010-05-02,155.2236583333333
2010-05-03,155.22665333333327
2010-05-04,150.45304000000004
2010-05-05,152.75721166666662
2010-05-06,150.4648533333333
2010-05-07,175.52771000000004
2010-05-08,153.92412166666665
2010-05-09,146.7104183333334
2010-05-10,152.47028500000002
2010-05-11,150.8335633333334
2010-05-12,145.92868833333333
2010-05-13,151.20595666666668
2010-05-14,145.68028500000005
2010-05-15,147.2876516666667
2010-05-16,147.23858499999997
2010-05-17,146.89611
2010-05-18,159.18577499999998
2010-05-19,172.53748333333337
2010-05-20,147.29807833333334
2010-05-21,149.81712833333336
2010-05-22,163.23440666666664
2010-05-23,148.251085
2010-05-24,155.089
2010-05-25,138.48188333333334
2010-05-26,139.09716833333331
2010-05-27,144.22247
2010-05-28,144.1291433333333
2010-05-29,134.55605500000001
2010-05-30,137.81835166666667
2010-05-31,138.860995
2010-06-01,133.06291333333328
2010-06-02,130.03239333333332
2010-06-03,122.70521833333335
2010-06-04,78.75993166666666
2010-06-05,69.40917666666668
2010-06-06,74.01786666666668
2010-06-07,72.86120833333332
2010-06-08,86.91694666666665
2010-06-09,88.86872333333332
2010-06-10,96.883845
2010-06-11,89.849765
2010-06-12,77.87952833333333
2010-06-13,69.84864666666667
2010-06-14,71.34195166666667
2010-06-15,84.99370000000003
2010-06-16,77.91243333333334
2010-06-17,81.35011833333333
2010-06-18,72.166225
2010-06-19,72.56099999999999
2010-06-20,72.75574333333331
2010-06-21,102.97216666666662
2010-06-22,106.82261
2010-06-23,108.38736
2010-06-24,95.03022333333335
2010-06-25,102.99052166666671
2010-06-26,102.97551999999997
2010-06-27,89.420925
2010-06-28,87.03110000000004
2010-06-29,107.88720666666661
2010-06-30,112.23264333333331
2010-07-01,97.74385500000004
2010-07-02,86.12475999999998
2010-07-03,86.10214166666667
2010-07-04,85.32791666666672
2010-07-05,88.28938333333336
2010-07-06,94.80599333333335
2010-07-07,98.27183333333333
2010-07-08,88.54937000000001
