Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Sistema,Sistema,2381185.72,2293793.5,2196871.68,2205452.91,2099447.64,2392291.99,2249548.46,2275499.21,2433248.45,2381826.94,2408549.41,2453278.61,2362219.5,2338484.78,2308739.22,2345758.68,2394944.87,2501352.15,2753568.93,2634381.1,2511385.63,2519976.92,2459206.01,2650295.76,2010-12-10
Sistema,Sistema,1955934.58,1882184.15,1813487.5,1811295.17,1833553.4,1979321.66,1971118.85,2194272.31,2448739.2,2346422.22,2248659.63,2294096.33,2219359.34,2206648.43,2294999.73,2318185.73,2330601.18,2195103.42,2582790.94,2534175.64,2439949.68,2391179.03,2308211.6,2276330.8,2010-12-11
Sistema,Sistema,2029338.86,2073199.47,2073831.64,2098599.18,2079244.95,2051544.02,2115656.66,2111157.47,1928792.32,2062186.1,2216914.13,2333078.57,2172713.92,2135089.48,2048572.77,2025129.33,1972187.6,2198043.53,2629816.19,2515603.84,2575237.9,2661120.84,2272748.7,1975952.92,2010-12-12
Sistema,Sistema,1880319.07,1767524.37,1753187.39,1765588.98,1741402.7,1928750.77,1899528.13,2300301.02,2587193.24,2726228.41,2818609.82,2792501.39,2768507.69,2737692.89,2779672.0,2827679.12,2829442.46,2728381.73,2755440.94,2655772.09,2475474.38,2541611.26,2542149.39,2026544.54,2010-12-13
Sistema,Sistema,1977201.81,1989476.56,1937414.39,1934444.89,1887761.36,1869761.44,1912889.53,2266954.32,2378522.52,2498047.18,2614416.51,2705466.5,2624056.02,2578819.18,2624863.41,2649448.47,2767015.82,2662801.96,2568920.73,2451426.78,2326554.2,2534112.6,2314593.47,1994403.9,2010-12-14
Sistema,Sistema,1739328.59,1662416.61,1664333.81,1600489.64,1642962.37,1901518.59,2071218.61,2369418.52,2417902.1,2338989.81,2349163.66,2336905.9,2324518.44,2286128.58,2327308.83,2370639.53,2383808.56,2548727.47,2508599.49,2437945.55,2448168.62,2348313.27,2275443.03,2016045.04,2010-12-15
Sistema,Sistema,1876672.8,1777490.59,1744062.38,1724723.59,1735070.28,1868089.54,2025062.04,2354451.51,2501602.54,2564448.4,2628241.03,2661517.09,2649929.86,2684681.08,2659337.89,2662838.13,2643648.15,2394744.83,2679585.06,2564872.43,2495585.69,2480027.84,2696747.41,2337990.38,2010-12-16
Sistema,Sistema,2065287.85,2039245.98,2033136.94,2029471.86,1942292.08,1920668.82,2300867.82,2559465.56,2698878.04,2853845.62,2920480.82,2859776.04,2481478.11,2929698.61,2968583.77,2983078.92,2964301.46,2874113.16,2675494.41,2543966.97,2620893.8,2996809.12,2770641.03,2523005.61,2010-12-17
Sistema,Sistema,2561834.75,2596376.33,2485205.37,2446060.77,2502189.49,2542230.14,2505927.49,2380356.4,2552585.22,2752066.15,2778346.98,2368673.2,2357456.31,2321067.26,2362293.72,2364620.5,2385009.56,2386469.4,2856711.33,2713018.13,2713297.09,2597387.89,2416288.31,2412202.29,2010-12-18
Sistema,Sistema,2001743.93,1811577.63,1837803.34,1837104.67,1850437.8,1880525.4,1998777.24,1985477.11,2025495.24,2143006.25,2241817.05,2314930.48,2401392.96,2326581.16,2234567.78,2210841.35,2291033.21,2540829.8,2646818.88,2594240.95,2541834.27,2428498.5,2451226.36,2149976.48,2010-12-19
