Id,Value,Date
Sistema,184098146.65,2015-06-30
Sistema,188125395.41,2015-07-01
Sistema,188377110.11,2015-07-02
Sistema,189924332.18,2015-07-03
Sistema,181132661.29,2015-07-04
Sistema,161771544.21,2015-07-05
Sistema,185495769.72,2015-07-06
Sistema,186304445.45,2015-07-07
Sistema,187790966.5,2015-07-08
Sistema,190041877.53,2015-07-09
Sistema,190526824.23,2015-07-10
Sistema,180965586.88,2015-07-11
Sistema,162308096.62,2015-07-12
Sistema,188659894.75,2015-07-13
Sistema,191246924.35,2015-07-14
Sistema,188193662.16,2015-07-15
Sistema,188318074.72,2015-07-16
Sistema,189080883.72,2015-07-17
Sistema,177031082.12,2015-07-18
Sistema,156534275.87,2015-07-19
Sistema,158706091.51,2015-07-20
Sistema,184306607.81,2015-07-21
Sistema,187693516.08,2015-07-22
Sistema,186681198.53,2015-07-23
Sistema,188472344.14,2015-07-24
Sistema,179990889.44,2015-07-25
Sistema,163033425.42,2015-07-26
Sistema,188247458.42,2015-07-27
Sistema,190763618.08,2015-07-28
Sistema,191441049.91,2015-07-29
Sistema,157817601.38,2015-05-31
Sistema,183717835.23,2015-06-01
Sistema,185733191.83,2015-06-02
Sistema,187823749.42,2015-06-03
Sistema,190011277.04,2015-06-04
Sistema,187955223.35,2015-06-05
Sistema,179042031.4,2015-06-06
Sistema,157367973.59,2015-06-07
Sistema,158320451.91,2015-06-08
Sistema,181601731.0,2015-06-09
Sistema,185381418.3,2015-06-10
Sistema,186852646.06,2015-06-11
Sistema,190108345.27,2015-06-12
Sistema,179411006.35,2015-06-13
Sistema,159995739.64,2015-06-14
Sistema,162173484.34,2015-06-15
Sistema,188188427.73,2015-06-16
Sistema,191202041.66,2015-06-17
Sistema,192508380.17,2015-06-18
Sistema,192749874.57,2015-06-19
Sistema,181834448.27,2015-06-20
Sistema,161933841.16,2015-06-21
Sistema,186487586.72,2015-06-22
Sistema,189497249.25,2015-06-23
Sistema,191113753.55,2015-06-24
Sistema,191333447.27,2015-06-25
Sistema,190387998.43,2015-06-26
Sistema,178442388.63,2015-06-27
Sistema,157723363.73,2015-06-28
Sistema,160928487.33,2015-06-29
Sistema,162125058.97,2015-05-01
Sistema,168781386.61,2015-05-02
Sistema,157909240.09,2015-05-03
Sistema,184964336.09,2015-05-04
Sistema,191179568.8,2015-05-05
Sistema,191955217.69,2015-05-06
Sistema,192618861.67,2015-05-07
Sistema,192735609.97,2015-05-08
Sistema,182886347.16,2015-05-09
Sistema,162459148.71,2015-05-10
Sistema,192658287.11,2015-05-11
Sistema,197408270.14,2015-05-12
Sistema,196449898.04,2015-05-13
Sistema,193925344.33,2015-05-14
Sistema,190142179.45,2015-05-15
Sistema,179462898.38,2015-05-16
Sistema,157344589.84,2015-05-17
Sistema,161876120.91,2015-05-18
Sistema,186395637.81,2015-05-19
Sistema,190493819.97,2015-05-20
Sistema,189949406.63,2015-05-21
Sistema,188744284.62,2015-05-22
Sistema,180713308.3,2015-05-23
Sistema,163367354.02,2015-05-24
Sistema,184923561.51,2015-05-25
Sistema,189572792.93,2015-05-26
Sistema,189432053.92,2015-05-27
Sistema,186277054.59,2015-05-28
Sistema,184239424.09,2015-05-29
Sistema,174094792.01,2015-05-30
Sistema,176783930.69,2015-04-01
Sistema,150698670.05,2015-04-02
Sistema,140446568.84,2015-04-03
Sistema,154013446.2,2015-04-04
Sistema,150685496.37,2015-04-05
Sistema,180245410.42,2015-04-06
Sistema,183822859.3,2015-04-07
Sistema,183433435.35,2015-04-08
Sistema,185114471.56,2015-04-09
Sistema,188419974.16,2015-04-10
Sistema,176395420.32,2015-04-11
Sistema,158300648.59,2015-04-12
Sistema,183119081.54,2015-04-13
Sistema,185944777.08,2015-04-14
Sistema,185495583.3,2015-04-15
Sistema,182753991.65,2015-04-16
Sistema,180522407.5,2015-04-17
Sistema,172315966.29,2015-04-18
Sistema,152522547.56,2015-04-19
Sistema,178988282.76,2015-04-20
Sistema,181494282.41,2015-04-21
Sistema,185257552.36,2015-04-22
Sistema,185579899.06,2015-04-23
