Id,Value,Date
Sistema,193338100.0,2015-06-30
Sistema,170228000.0,2015-07-01
Sistema,153734900.0,2015-07-02
Sistema,127077200.0,2015-07-03
Sistema,132608600.0,2015-07-04
Sistema,144509100.0,2015-07-05
Sistema,141880800.0,2015-07-06
Sistema,130428000.0,2015-07-07
Sistema,151243700.0,2015-07-08
Sistema,119098000.0,2015-07-09
Sistema,169008200.0,2015-07-10
Sistema,126055900.0,2015-07-11
Sistema,146546000.0,2015-07-12
Sistema,112283600.0,2015-07-13
Sistema,97539700.0,2015-07-14
Sistema,253126100.0,2015-07-15
Sistema,268375900.0,2015-07-16
Sistema,213083400.0,2015-07-17
Sistema,247222400.0,2015-07-18
Sistema,220847800.0,2015-07-19
Sistema,263658700.0,2015-07-20
Sistema,234908300.0,2015-07-21
Sistema,346033000.0,2015-07-22
Sistema,290965800.0,2015-07-23
Sistema,221080400.0,2015-07-24
Sistema,163823600.0,2015-07-25
Sistema,138264200.0,2015-07-26
Sistema,249290900.0,2015-07-27
Sistema,217176700.0,2015-07-28
Sistema,291454900.0,2015-07-29
Sistema,251701600.0,2015-05-31
Sistema,216049100.0,2015-06-01
Sistema,190737000.0,2015-06-02
Sistema,175703300.0,2015-06-03
Sistema,231686400.0,2015-06-04
Sistema,288224200.0,2015-06-05
Sistema,207413400.0,2015-06-06
Sistema,164478600.0,2015-06-07
Sistema,162205600.0,2015-06-08
Sistema,219222500.0,2015-06-09
Sistema,213343400.0,2015-06-10
Sistema,223610200.0,2015-06-11
Sistema,150166400.0,2015-06-12
Sistema,217689900.0,2015-06-13
Sistema,181757000.0,2015-06-14
Sistema,194014400.0,2015-06-15
Sistema,181747400.0,2015-06-16
Sistema,139151700.0,2015-06-17
Sistema,178118500.0,2015-06-18
Sistema,230610300.0,2015-06-19
Sistema,197822600.0,2015-06-20
Sistema,184172000.0,2015-06-21
Sistema,392439400.0,2015-06-22
Sistema,311764100.0,2015-06-23
Sistema,254269400.0,2015-06-24
