Id,Value,Date
Sistema,11159595903.8,2015-08-20
Sistema,11183536079.6,2015-08-21
Sistema,11178205745.1,2015-08-22
Sistema,11184832673.3,2015-08-23
Sistema,11186511595.0,2015-08-24
Sistema,11210742771.2,2015-08-25
Sistema,11263380760.3,2015-08-26
Sistema,11272482013.8,2015-08-27
Sistema,11286629160.4,2015-08-28
Sistema,9788328306.8,2015-06-30
Sistema,9800212106.9,2015-07-01
Sistema,9790583603.3,2015-07-02
Sistema,9765253057.8,2015-07-03
Sistema,9762401608.0,2015-07-04
Sistema,9786607325.8,2015-07-05
Sistema,9786985803.5,2015-07-06
Sistema,9770284172.8,2015-07-07
Sistema,9778314152.4,2015-07-08
Sistema,9756864602.6,2015-07-09
Sistema,9782362033.5,2015-07-10
Sistema,9774910127.4,2015-07-11
Sistema,9781722691.1,2015-07-12
Sistema,9750279154.9,2015-07-13
Sistema,9699339607.3,2015-07-14
Sistema,9805560405.4,2015-07-15
Sistema,9927638302.8,2015-07-16
Sistema,9993902795.3,2015-07-17
Sistema,10098687755.5,2015-07-18
Sistema,10191334622.4,2015-07-19
Sistema,10317552701.4,2015-07-20
Sistema,10404824178.6,2015-07-21
Sistema,10568225262.8,2015-07-22
Sistema,10665010559.2,2015-07-23
Sistema,10699945655.7,2015-07-24
Sistema,10694465100.4,2015-07-25
Sistema,10687280958.2,2015-07-26
Sistema,10722569993.1,2015-07-27
Sistema,10749842828.5,2015-07-28
Sistema,10787501285.5,2015-07-29
Sistema,7431347565.3,2015-05-31
Sistema,7480217582.9,2015-06-01
Sistema,7485809046.5,2015-06-02
Sistema,7514671410.6,2015-06-03
Sistema,7560176042.2,2015-06-04
Sistema,7665016830.2,2015-06-05
Sistema,7723293306.9,2015-06-06
Sistema,7786026339.3,2015-06-07
Sistema,7854876959.8,2015-06-08
Sistema,7939183637.7,2015-06-09
Sistema,8004022592.4,2015-06-10
Sistema,8074139475.3,2015-06-11
Sistema,8093542798.9,2015-06-12
Sistema,8165427759.9,2015-06-13
Sistema,8222035517.1,2015-06-14
Sistema,8281957945.6,2015-06-15
Sistema,8309375346.9,2015-06-16
Sistema,8297842522.9,2015-06-17
Sistema,8337505576.2,2015-06-18
Sistema,8428026494.5,2015-06-19
Sistema,8492915733.3,2015-06-20
Sistema,8552813919.8,2015-06-21
Sistema,8751510751.6,2015-06-22
Sistema,8881084030.2,2015-06-23
Sistema,8964969528.7,2015-06-24
Sistema,9137205659.0,2015-06-25
Sistema,9337221209.9,2015-06-26
Sistema,9510629053.9,2015-06-27
Sistema,9647438144.4,2015-06-28
Sistema,9749950434.4,2015-06-29
Sistema,7274905168.4,2015-05-01
