Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
Sistema,Sistema,5890192.9,5763569.07,5647738.18,5693128.94,5870272.0,6340320.69,6522659.6,6742085.01,6969737.12,7105051.41,7401222.61,7517067.58,7403598.9,7276557.08,7326273.1,7315425.35,7286196.12,7464424.15,8417434.73,8572433.13,8286130.37,7789177.03,7034632.07,6343666.33,2010-12-10
Sistema,Sistema,5965671.21,5814174.21,5729709.17,5674610.53,5802057.59,6004669.83,6113229.67,6404952.32,6733839.36,6955748.03,7079202.82,7238626.41,7177089.56,6982467.39,6833833.83,6796768.49,6759585.26,7005151.88,7987074.24,8181310.65,7924948.62,7475988.39,6772502.72,6229510.02,2010-12-11
Sistema,Sistema,5861404.77,5658825.37,5567438.97,5519391.26,5553639.18,5650959.22,5555459.99,5758554.93,6055772.78,6217735.23,6356414.16,6484146.68,6492963.23,6392531.59,6274276.01,6231001.37,6189784.92,6424472.48,7461597.94,7767082.37,7560919.98,7205527.48,6591963.52,6061519.98,2010-12-12
Sistema,Sistema,5751367.46,5574955.78,5502160.18,5510465.47,5706664.21,6126675.01,6410144.85,6685178.7,7010151.64,7168385.96,7349144.78,7496292.13,7365734.48,7233637.36,7308048.52,7260014.14,7263099.68,7483706.37,8417751.43,8561908.76,8238511.38,7764901.0,6971562.85,6275685.29,2010-12-13
Sistema,Sistema,5857877.57,5671744.55,5570194.13,5534950.99,5736814.64,6143768.57,6336311.81,6622495.23,6922667.46,7072999.29,7225342.0,7342233.06,7239626.19,7124817.42,7121236.51,7147567.63,7143108.89,7386519.3,8309382.87,8502548.89,8209992.83,7721379.93,6947462.74,6283230.57,2010-12-14
Sistema,Sistema,5868059.51,5744124.53,5665237.42,5695752.73,5913193.37,6414695.7,6610554.75,6784859.71,7059912.63,7239630.47,7453325.84,7502366.67,7423169.21,7309641.94,7357638.94,7376426.93,7359356.7,7564576.94,8462751.62,8635256.06,8349535.92,7796922.51,7025654.33,6372924.14,2010-12-15
Sistema,Sistema,5926962.2,5749288.74,5705404.81,5723340.34,5939529.95,6394861.68,6576653.11,6829932.92,7130164.23,7252840.56,7331563.98,7453145.08,7392882.38,7316331.09,7358953.52,7358042.69,7335964.78,7554636.74,8509919.51,8665900.28,8386903.4,7879771.12,7108211.11,6443038.1,2010-12-16
Sistema,Sistema,6028053.01,5858808.74,5765270.96,5778727.24,6002909.67,6418511.6,6588910.86,6809825.21,7108464.34,7275854.82,7407417.73,7536088.48,7424450.81,7314384.9,7315460.39,7318705.16,7315374.86,7520640.61,8473190.76,8605610.34,8331384.89,7846581.83,7049884.65,6402825.9,2010-12-17
Sistema,Sistema,6017126.91,5831755.49,5705660.73,5692423.8,5820130.44,6018945.53,6159404.33,6444720.19,6762419.19,6941238.33,7096527.54,7090781.71,7117474.52,6943375.78,6783129.03,6763202.43,6684188.63,6999055.05,7951462.32,8127955.83,7868177.4,7420529.99,6813532.52,6277648.98,2010-12-18
Sistema,Sistema,5914177.04,5691993.63,5584954.02,5529648.54,5572617.93,5643819.79,5563252.97,5761823.7,6027043.94,6179940.98,6333094.62,6452393.77,6487615.55,6376532.71,6237498.81,6200746.33,6206461.16,6463074.11,7497023.01,7773930.09,7589907.15,7145866.02,6516487.92,6046984.56,2010-12-19
