MetricId,MetricName,Entity,MaxDays,Type,Url,Filter,MetricUnits,MetricDescription
ConsCombAprox,Consumo Combustible Aproximado para el Factor de Emisión por RecursoComb,RecursoComb,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,MBTU,La métrica se construye con el objetivo de determinar un valor aproximado para el consumo de combustible para los generadores térmicos que no deben reportar diariamente según resolución CREG 084 de 20
ConsCombustibleMBTU,Consumo Combustible MBTU por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,MBTU,Los generadores térmicos deben reportar diariamente según resolución CREG 084 de 2005 el consumo de combustible en MBTU
CostMargDesp,Costo Marginal Despacho Programado por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP/kWh,Es el aumento en el costo total operativo del Sistema debido al incremento de la demanda del mismo en una unidad. El costo adicional es imputable únicamente a unidades de generación flexbiles y con el
CostRecNeg,Costo Unitario Reconciliacion Negativa por Area,Area,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No Aplica,COP/kWh,Reconcilación Negativa sin AGC ($) / Reconcilación Negativa sin AGC (kWh)
CostRecNeg,Costo Unitario Reconciliacion Negativa por SubArea,SubArea,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No Aplica,COP/kWh,Reconcilación Negativa sin AGC ($) / Reconcilación Negativa sin AGC (kWh)
CostRecPos,Costo Unitario Reconciliacion Positiva por Area,Area,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No Aplica,COP/kWh,Reconcilación Positiva sin AGC ($) / Reconcilación Positiva sin AGC (kWh)
CostRecPos,Costo Unitario Reconciliacion Positiva por SubArea,SubArea,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No Aplica,COP/kWh,Reconcilación Positiva sin AGC ($) / Reconcilación Positiva sin AGC (kWh)
DDVContratada,DDV Contratada por Recurso,Recurso,31,DailyEntities,http://servapibi.xm.com.co/daily,Codigo Submercado Generación,kWh,Valor total diario contratado por cada recurso de generación bajo el esquema de Demanda Desconectable Voluntaria.
DeltaInt,Delta Incremento Internacional por Sistema,Sistema,31,DailyEntities,http://servapibi.xm.com.co/daily,No Aplica,COP/kWh,Incremento sobre el MPO (Máximo Precio Ofertado) Internacional horario para calcular el Precio de Bolsa Internacional (Venezuela). Resolución 051/2009
DeltaNal,Delta Incremento Nacional por Sistema,Sistema,31,DailyEntities,http://servapibi.xm.com.co/daily,No Aplica,COP/kWh,Incremento sobre el MPO (Máximo Precio Ofertado) Nacional horario para calcular el Precio de Bolsa Nacional. Resolución 51/2009
