MetricId,MetricName,Entity,MaxDays,Type,Url,Filter,MetricUnits,MetricDescription
PrecBolsNaci,Precio Bolsa Nacional por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP/kWh,"Precio de oferta de la última planta flexible para atender la demanda comercial nacional, más delta de incremento para remunerar los costos no cubiertos de las plantas térmicas en el despacho ideal."
PrecBolsNaciTX1,Precio Bolsa Promedio Aritmético TX1 por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP/kWh,Promedio aritmético del precio de bolsa nacional de la versión TX1
PrecCargConf,Precio Cargo por Confiabilidad por Recurso,Recurso,31,DailyEntities,http://servapibi.xm.com.co/daily,Codigo Submercado Generación,USD/kWh, Precio del Cargo por confiabilidad al que se remunera la Obligación de Energía Firme
PrecEscaAct,Precio Escasez Activación por Sistema,Sistema,31,DailyEntities,http://servapibi.xm.com.co/daily,No aplica,COP/kWh,Precio de Escasez de Activación calculado de acuerdo con la Resolución CREG 140 del 2017
PrecEscaPon,Precio Escasez Ponderado por Sistema,Sistema,31,DailyEntities,http://servapibi.xm.com.co/daily,No aplica,COP/kWh,Precio Escasez Ponderado del Sistema calculado de acuerdo a la Resolución CREG 140 de 2017
PrecEsca,Precio Escasez por Sistema,Sistema,31,DailyEntities,http://servapibi.xm.com.co/daily,No aplica,COP/kWh,"Establecido por la CREG- y actualizado mensualmente con base en la variación de un índice de precios de combustibles, tiene una doble función. Por una parte indica a partir de qué momento las Obligaci"
PrecEscaMarg,Precio Marginal Escasez por Sistema,Sistema,31,DailyEntities,http://servapibi.xm.com.co/daily,No aplica,COP/kWh,Precio Marginal de Escasez calculado de acuerdo con la Resolución CREG 140 del 2017
PrecPromCont,Precio Promedio Contrato por Sistema,Sistema,31,DailyEntities,http://servapibi.xm.com.co/daily,No aplica,COP/kWh,"Precio Promedio Ponderado de contratos largo plazo, de acuerdo a la cantidad de energía de cada contrato"
PrecPromContNoRegu,Precio Promedio Contratos No Regulados por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP/kWh,[Sumatoria Valor Ventas Contrato cuando el Mercado Destino es No Regulado] / [Sumatoria Ventas Energía Contrato cuando el Mercado Destino es No Regulado]
PrecPromContRegu,Precio Promedio Contratos Regulados por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP/kWh,[Sumatoria Valor Ventas Contrato cuando el Mercado Destino es Regulado] / [Sumatoria Ventas Energía Contrato cuando el Mercado Destino es Regulado]
PrecOferIdeal,Precio de Oferta Ideal por Recurso,Recurso,31,DailyEntities,http://servapibi.xm.com.co/daily,Codigo Submercado Generación,COP/kWh,Es el precio de la energia de una recurso de generación para cada una de las 24 horas de un dia. Difiere del precio de oferta de despacho en que incluye el CERE en lugar del CEE
PrecOferDesp,Precio de Oferta de Despacho por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,COP/kWh,Es el precio de la energia de un recurso de generación despachados centralmente enviados por los agentes para el Despacho. Incluye el CEE
RecoNegEner,Reconciliación Negativa Energía por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,kWh,Costos asociados con generaciones desplazadas en el despacho real por Generaciones de Seguridad Fuera de Merito o por Redespachos (diferencia entre el despacho ideal y el real).Este concepto aplica de
RecoNegMoneda,Reconciliación Negativa Moneda por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,COP,Costos asociados con generaciones desplazadas en el despacho real por Generaciones de Seguridad Fuera de Merito o por Redespachos (diferencia entre el despacho ideal y el real).Este concepto aplica de
RecoPosEner,Reconciliación Positiva Energía por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,kWh,Es el valor de la compensacion positiva que se debe aplicar a los generadores para cada uno de sus recursos ofertados debido a las diferencias entre el despacho ideal y la generacion real. Este concep
RecoPosMoneda,Reconciliación Positiva Moneda por Recurso,Recurso,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Submercado Generación,COP,Es el valor de la compensacion positiva que se debe aplicar a los generadores para cada uno de sus recursos ofertados debido a las diferencias entre el despacho ideal y la generacion real. Este concep
RemuRealIndiv,Remuneración Real Individual Diaria - RRID por Sistema,Sistema,31,DailyEntities,http://servapibi.xm.com.co/daily,No aplica,COP,Remuneración Real Individual Diaria de la Obligación de Energía Firme de acuerdo con lo establecido en la Resolución CREG 071 de 2006.
RentasCongestRestr,Rentas de Congestion para Cubrir Restricciones por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP,"La Resolución CREG 060 de 2004 modifica la Resolución CREG 004 de 2003, estableciendo la asignación de las Rentas de Congestión a la demanda total, la cual es definida como la sumatoria de la demanda "
RespComerAGC,Responsabilidad Comercial AGC por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP,Responsabilidad Comercial de cada agente generador frente al Servicio de Regulación Secundara de Frecuencia
RestAliv,Restricciones Aliviadas por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP,"“Es el valor a cargo de los comercializadores por concepto de restricciones después de aplicar los alivios definidos en la regulación vigente”, la regla de negocio de esta métrica sería la Resolución "
RestSinAliv,Restricciones sin Alivios por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP,Es el valor de la generacion de seguridad total del sistema asociada a restricciones por concepto de limitaciones en la capacidad de transporte en las redes del SIN.
SnTIEFueraMerito,Saldo Neto TIE Fuera Merito por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP,Corresponde a los valores netos deficitarios o superavitarios resultantes del ajuste final de Transacciones Internacionales de Electricidad de acuerdo con lo definido en la Resolución 004 de 2003.
SnTIEMerito,Saldo Neto TIE Merito por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP,Corresponde a los valores netos deficitarios o superavitarios resultantes del ajuste final de Transacciones Internacionales de Electricidad de acuerdo con lo definido en la Resolución 004 de 2003.
TempAmbSolar,Temperatura Ambiente Solar por Recurso,Recurso,31,DailyEntities,http://servapibi.xm.com.co/daily,Codigo Submercado Generación,°C,Temperatura del aire representativa de la planta solar fotovoltaica.
TempPanel,Temperatura Panel por Recurso,Recurso,31,DailyEntities,http://servapibi.xm.com.co/daily,Codigo Submercado Generación,,
VentBolsaIntEner,Ventas Bolsa Internacional Energía por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Agente,kWh,Energía vendida en la Bolsa de Energía para atender la demanda internacional.
VentBolsaIntEner,Ventas Bolsa Internacional Energía por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Energía vendida en la Bolsa de Energía para atender la demanda internacional.
VentBolsaIntMoneda,Ventas Bolsa Internacional Moneda por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Agente,COP,Energía vendida en la Bolsa de Energía para atender la demanda internacional.
VentBolsaIntMoneda,Ventas Bolsa Internacional Moneda por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP,Energía vendida en la Bolsa de Energía para atender la demanda internacional.
VentBolsNaciEner,Ventas Bolsa Nacional Energía por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Agente,kWh,Energia comprada en la Bolsa de Energia para atender la demanda nacional
VentBolsNaciEner,Ventas Bolsa Nacional Energía por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Energia comprada en la Bolsa de Energia para atender la demanda nacional
VentaBolsNaciMoneda,Ventas Bolsa Nacional Moneda por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP,Energia comprada en la Bolsa de Energia para atender la demanda nacional
VentBolsaTIEEner,Ventas Bolsa TIE Energía por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Agente,kWh,Energía comprada en la Bolsa de Energía para atender la demanda TIE
VentBolsaTIEEner,Ventas Bolsa TIE Energía por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Energía comprada en la Bolsa de Energía para atender la demanda TIE
VentBolsaTIEMoneda,Ventas Bolsa TIE Moneda por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Agente,COP,Energía comprada en la Bolsa de Energía para atender la demanda TIE
VentBolsaTIEMoneda,Ventas Bolsa TIE Moneda por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,COP,Energía comprada en la Bolsa de Energía para atender la demanda TIE
VentContRespEner,Ventas Contrato Respaldo por Recurso,Recurso,31,DailyEntities,http://servapibi.xm.com.co/daily,Codigo Submercado Generación,COP,Ventas de contratos Respaldo
VentContRespEner,Ventas Contrato Respaldo por Sistema,Sistema,31,DailyEntities,http://servapibi.xm.com.co/daily,No aplica,COP,Ventas de contratos Respaldo
VentContEnerSICEP,Ventas en Contrato Energía del SICEP por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Agente,kWh,Energia vendida mediante Contratos de largo plazo
VentContEnerSICEP,Ventas en Contrato Energía del SICEP por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Energia vendida mediante Contratos de largo plazo
VentContEner,Ventas en Contrato Energía por Agente,Agente,31,HourlyEntities,http://servapibi.xm.com.co/hourly,Codigo Agente,kWh,Energia vendida mediante Contratos de largo plazo
VentContEner,Ventas en Contrato Energía por Sistema,Sistema,31,HourlyEntities,http://servapibi.xm.com.co/hourly,No aplica,kWh,Energia vendida mediante Contratos de largo plazo
VertEner,Vertimientos Energía por Embalse,Embalse,31,DailyEntities,http://servapibi.xm.com.co/daily,Nombre Embalse,kWh,Los vertimientos estan relacionados con la cantidad de agua que debe ser evacuada en los embalses cuando la reserva sobrepasa la capacidad maxima de almacenamiento.
VertEner,Vertimientos Energía por Sistema,Sistema,31,DailyEntities,http://servapibi.xm.com.co/daily,No aplica,kWh,Los vertimientos estan relacionados con la cantidad de agua que debe ser evacuada en los embalses cuando la reserva sobrepasa la capacidad maxima de almacenamiento.
VertMasa,Vertimientos Volumen por Embalse,Embalse,31,DailyEntities,http://servapibi.xm.com.co/daily,Nombre Embalse,m3,Los vertimientos estan relacionados con la cantidad de agua que debe ser evacuada en los embalses cuando la reserva sobrepasa la capacidad maxima de almacenamiento.
VolTurbMasa,Volumen Turbinado por Embalse,Embalse,31,DailyEntities,http://servapibi.xm.com.co/daily,Nombre Embalse,Miles m3,"Agua turbinada por la planta expresada en miles m3, incluye caudal ambiental y caudal de acueducto"
VolTurbMasa,Volumen Turbinado por Sistema,Sistema,31,DailyEntities,http://servapibi.xm.com.co/daily,No aplica,Miles m3,"Agua turbinada por la planta expresada en miles m3, incluye caudal ambiental y caudal de acueducto"
PorcVoluUtilDiar,Volumen Útil  diario % por Embalse,Embalse,31,DailyEntities,http://servapibi.xm.com.co/daily,Nombre Embalse,%,Porcentaje de volumen almacenado en el embalse por encima del Nivel Mínimo Técnico
PorcVoluUtilDiar,Volumen Útil  diario % por Sistema,Sistema,31,DailyEntities,http://servapibi.xm.com.co/daily,No aplica,%,Porcentaje de volumen almacenado en el embalse por encima del Nivel Mínimo Técnico
VoluUtilDiarEner,Volumen Útil diario Energía por Embalse,Embalse,31,DailyEntities,http://servapibi.xm.com.co/daily,Nombre Embalse,kWh,"Volumen almacenado por encima del Nivel Minimo Tecnico, reportado diariamente por los agentes. En % corresponde a la relacion entre el Volumen Util Diario y la Capacidad Util del Embalse"
VoluUtilDiarEner,Volumen Útil diario Energía por Sistema,Sistema,31,DailyEntities,http://servapibi.xm.com.co/daily,No aplica,kWh,"Volumen almacenado por encima del Nivel Minimo Tecnico, reportado diariamente por los agentes. En % corresponde a la relacion entre el Volumen Util Diario y la Capacidad Util del Embalse"
VoluUtilDiarMasa,Volumen Útil diario por Embalse,Embalse,31,DailyEntities,http://servapibi.xm.com.co/daily,Nombre Embalse,m3,"Definida como el volumen almacenado en el embalse por encima del Nivel Mínimo Técnico, inició su declaración diaria por parte de los agentes hidráulicos del mercado desde julio 11 de 2004 (Acuerdo 294"
ListadoRecursos,plantas y unidades que tiene asociadas un agente por Agente,Agente,731,ListsEntities,http://servapibi.xm.com.co/list,No aplica,,Listado de recursos y unidades que pertenecen a un agente generador
